id,nombre,sistema_principal,prior_inc,prior_prev,w_priors
p_214,Patologia_214,Endocrino,0.7122,0.6937,0.3
p_215,Patologia_215,Endocrino,0.2372,0.2208,0.3
p_216,Patologia_216,Cardiovascular,0.3254,0.0824,0.3
p_217,Patologia_217,Respiratorio,0.7465,0.6805,0.3
p_218,Patologia_218,Cardiovascular,0.6496,0.6545,0.3
p_219,Patologia_219,Cardiovascular,0.8492,0.2733,0.3
p_220,Patologia_220,Respiratorio,0.6576,0.9509,0.3
p_221,Patologia_221,Neurológico,0.5683,0.1511,0.3
p_222,Patologia_222,Neurológico,0.0937,0.4323,0.3
p_223,Patologia_223,Cardiovascular,0.3677,0.9436,0.3
p_224,Patologia_224,Digestivo,0.2652,0.4197,0.3
p_225,Patologia_225,Cardiovascular,0.244,0.6385,0.3
p_226,Patologia_226,Cardiovascular,0.973,0.3976,0.3
p_227,Patologia_227,Cardiovascular,0.3931,0.2742,0.3
p_228,Patologia_228,Neurológico,0.892,0.984,0.3
p_229,Patologia_229,Neurológico,0.6311,0.4093,0.3
p_230,Patologia_230,Neurológico,0.7948,0.8941,0.3
p_231,Patologia_231,Cardiovascular,0.5026,0.23,0.3
p_232,Patologia_232,Digestivo,0.5769,0.2131,0.3
p_233,Patologia_233,Neurológico,0.4925,0.0311,0.3
p_234,Patologia_234,Respiratorio,0.1952,0.6517,0.3
p_235,Patologia_235,Respiratorio,0.7225,0.3685,0.3
p_236,Patologia_236,Respiratorio,0.2808,0.8644,0.3
p_237,Patologia_237,Endocrino,0.0243,0.4732,0.3
p_238,Patologia_238,Cardiovascular,0.6455,0.9682,0.3
p_239,Patologia_239,Respiratorio,0.1771,0.1855,0.3
p_240,Patologia_240,Cardiovascular,0.9405,0.8686,0.3
p_241,Patologia_241,Respiratorio,0.9539,0.7766,0.3
p_242,Patologia_242,Digestivo,0.9149,0.7709,0.3
p_243,Patologia_243,Cardiovascular,0.3702,0.8448,0.3
p_244,Patologia_244,Respiratorio,0.0155,0.761,0.3
p_245,Patologia_245,Neurológico,0.9283,0.6262,0.3
p_246,Patologia_246,Cardiovascular,0.4282,0.1312,0.3
p_247,Patologia_247,Endocrino,0.9667,0.0325,0.3
p_248,Patologia_248,Neurológico,0.9636,0.9208,0.3
p_249,Patologia_249,Neurológico,0.853,0.6167,0.3
p_250,Patologia_250,Endocrino,0.2944,0.7965,0.3
p_251,Patologia_251,Neurológico,0.3851,0.4815,0.3
p_252,Patologia_252,Neurológico,0.8511,0.1173,0.3
p_253,Patologia_253,Respiratorio,0.3169,0.1252,0.3
p_254,Patologia_254,Respiratorio,0.1695,0.6856,0.3
p_255,Patologia_255,Cardiovascular,0.5568,0.4303,0.3
p_256,Patologia_256,Cardiovascular,0.9362,0.2005,0.3
p_257,Patologia_257,Cardiovascular,0.696,0.4916,0.3
p_258,Patologia_258,Respiratorio,0.5701,0.0642,0.3
p_259,Patologia_259,Cardiovascular,0.0972,0.582,0.3
p_260,Patologia_260,Neurológico,0.615,0.269,0.3
p_261,Patologia_261,Respiratorio,0.9901,0.7976,0.3
p_262,Patologia_262,Cardiovascular,0.1401,0.3104,0.3
p_263,Patologia_263,Neurológico,0.5183,0.4552,0.3
p_264,Patologia_264,Cardiovascular,0.8774,0.0116,0.3
p_265,Patologia_265,Digestivo,0.7408,0.0724,0.3
p_266,Patologia_266,Cardiovascular,0.697,0.3925,0.3
p_267,Patologia_267,Digestivo,0.7025,0.4799,0.3
p_268,Patologia_268,Cardiovascular,0.3595,0.6,0.3
p_269,Patologia_269,Endocrino,0.2936,0.2917,0.3
p_270,Patologia_270,Cardiovascular,0.8094,0.695,0.3
p_271,Patologia_271,Respiratorio,0.8101,0.8601,0.3
p_272,Patologia_272,Respiratorio,0.8671,0.7799,0.3
p_273,Patologia_273,Digestivo,0.9132,0.0396,0.3
p_274,Patologia_274,Respiratorio,0.5113,0.4805,0.3
p_275,Patologia_275,Neurológico,0.5015,0.1049,0.3
p_276,Patologia_276,Endocrino,0.7983,0.242,0.3
p_277,Patologia_277,Endocrino,0.65,0.9867,0.3
p_278,Patologia_278,Neurológico,0.702,0.1425,0.3
p_279,Patologia_279,Digestivo,0.7958,0.4989,0.3
p_280,Patologia_280,Neurológico,0.89,0.6182,0.3
p_281,Patologia_281,Neurológico,0.338,0.7025,0.3
p_282,Patologia_282,Endocrino,0.3756,0.5596,0.3
p_283,Patologia_283,Cardiovascular,0.094,0.0098,0.3
p_284,Patologia_284,Endocrino,0.5783,0.3265,0.3
p_285,Patologia_285,Endocrino,0.0359,0.5177,0.3
p_286,Patologia_286,Respiratorio,0.4656,0.0879,0.3
p_287,Patologia_287,Neurológico,0.5426,0.3506,0.3
p_288,Patologia_288,Endocrino,0.2865,0.0332,0.3
p_289,Patologia_289,Neurológico,0.5908,0.0786,0.3
p_290,Patologia_290,Respiratorio,0.0305,0.3969,0.3
p_291,Patologia_291,Neurológico,0.0373,0.1327,0.3
p_292,Patologia_292,Endocrino,0.8226,0.5675,0.3
p_293,Patologia_293,Neurológico,0.3602,0.6895,0.3
p_294,Patologia_294,Respiratorio,0.1271,0.8006,0.3
p_295,Patologia_295,Cardiovascular,0.5222,0.2002,0.3
p_296,Patologia_296,Neurológico,0.77,0.1675,0.3
p_297,Patologia_297,Endocrino,0.2158,0.1046,0.3
p_298,Patologia_298,Respiratorio,0.6229,0.6364,0.3
p_299,Patologia_299,Endocrino,0.0853,0.7065,0.3
p_300,Patologia_300,Endocrino,0.0517,0.0316,0.3
p_301,Patologia_301,Neurológico,0.5314,0.9362,0.3
p_302,Patologia_302,Endocrino,0.5406,0.052,0.3
p_303,Patologia_303,Neurológico,0.6374,0.5413,0.3
p_304,Patologia_304,Cardiovascular,0.7261,0.7091,0.3
p_305,Patologia_305,Endocrino,0.9759,0.871,0.3
p_306,Patologia_306,Endocrino,0.5163,0.7141,0.3
p_307,Patologia_307,Endocrino,0.323,0.8017,0.3
p_308,Patologia_308,Digestivo,0.7952,0.3395,0.3
p_309,Patologia_309,Digestivo,0.2708,0.8148,0.3
p_310,Patologia_310,Respiratorio,0.439,0.0801,0.3
p_311,Patologia_311,Digestivo,0.0785,0.8948,0.3
p_312,Patologia_312,Respiratorio,0.0254,0.5476,0.3
p_313,Patologia_313,Digestivo,0.9626,0.8173,0.3
p_314,Patologia_314,Cardiovascular,0.836,0.4523,0.3
p_315,Patologia_315,Respiratorio,0.696,0.6436,0.3
p_316,Patologia_316,Digestivo,0.409,0.5264,0.3
p_317,Patologia_317,Cardiovascular,0.1733,0.7316,0.3
p_318,Patologia_318,Digestivo,0.1564,0.0816,0.3
p_319,Patologia_319,Neurológico,0.2502,0.0604,0.3
p_320,Patologia_320,Neurológico,0.5492,0.2471,0.3
p_321,Patologia_321,Cardiovascular,0.7146,0.1595,0.3
p_322,Patologia_322,Endocrino,0.6602,0.8718,0.3
p_323,Patologia_323,Endocrino,0.2799,0.2192,0.3
p_324,Patologia_324,Neurológico,0.9549,0.9759,0.3
p_325,Patologia_325,Neurológico,0.7379,0.3369,0.3
p_326,Patologia_326,Endocrino,0.5544,0.1821,0.3
p_327,Patologia_327,Respiratorio,0.6117,0.7897,0.3
p_328,Patologia_328,Endocrino,0.4196,0.6587,0.3
p_329,Patologia_329,Digestivo,0.2477,0.4982,0.3
p_330,Patologia_330,Respiratorio,0.356,0.5554,0.3
p_331,Patologia_331,Digestivo,0.7578,0.7192,0.3
p_332,Patologia_332,Neurológico,0.0144,0.2285,0.3
p_333,Patologia_333,Respiratorio,0.1161,0.9963,0.3
p_334,Patologia_334,Digestivo,0.046,0.9748,0.3
p_335,Patologia_335,Digestivo,0.0407,0.6503,0.3
p_336,Patologia_336,Respiratorio,0.8555,0.1995,0.3
p_337,Patologia_337,Cardiovascular,0.7037,0.6802,0.3
p_338,Patologia_338,Endocrino,0.4742,0.0722,0.3
p_339,Patologia_339,Digestivo,0.0978,0.0307,0.3
p_340,Patologia_340,Endocrino,0.4916,0.2577,0.3
p_341,Patologia_341,Endocrino,0.4735,0.4626,0.3
p_342,Patologia_342,Neurológico,0.1732,0.8683,0.3
p_343,Patologia_343,Endocrino,0.4339,0.7272,0.3
p_344,Patologia_344,Digestivo,0.3985,0.7427,0.3
p_345,Patologia_345,Neurológico,0.6159,0.4255,0.3
p_346,Patologia_346,Respiratorio,0.6351,0.3459,0.3
p_347,Patologia_347,Digestivo,0.0453,0.371,0.3
p_348,Patologia_348,Neurológico,0.3746,0.9876,0.3
p_349,Patologia_349,Neurológico,0.6259,0.0401,0.3
p_350,Patologia_350,Endocrino,0.5031,0.867,0.3
p_351,Patologia_351,Respiratorio,0.8565,0.5787,0.3
p_352,Patologia_352,Digestivo,0.6587,0.4386,0.3
p_353,Patologia_353,Digestivo,0.1629,0.7253,0.3
p_354,Patologia_354,Endocrino,0.0706,0.4867,0.3
p_355,Patologia_355,Respiratorio,0.6424,0.8734,0.3
p_356,Patologia_356,Digestivo,0.0265,0.9007,0.3
p_357,Patologia_357,Respiratorio,0.5858,0.4217,0.3
p_358,Patologia_358,Digestivo,0.9402,0.2768,0.3
p_359,Patologia_359,Endocrino,0.5755,0.5924,0.3
p_360,Patologia_360,Cardiovascular,0.3882,0.9124,0.3
p_361,Patologia_361,Digestivo,0.6433,0.2107,0.3
p_362,Patologia_362,Neurológico,0.4583,0.623,0.3
p_363,Patologia_363,Neurológico,0.5456,0.6316,0.3
p_364,Patologia_364,Cardiovascular,0.9415,0.7331,0.3
p_365,Patologia_365,Digestivo,0.3861,0.1316,0.3
p_366,Patologia_366,Neurológico,0.9612,0.7158,0.3
p_367,Patologia_367,Neurológico,0.9054,0.909,0.3
p_368,Patologia_368,Digestivo,0.1958,0.1797,0.3
p_369,Patologia_369,Respiratorio,0.0694,0.2375,0.3
p_370,Patologia_370,Digestivo,0.1008,0.9714,0.3
p_371,Patologia_371,Respiratorio,0.0182,0.181,0.3
p_372,Patologia_372,Cardiovascular,0.0944,0.8544,0.3
p_373,Patologia_373,Endocrino,0.683,0.4923,0.3
p_374,Patologia_374,Cardiovascular,0.0712,0.2472,0.3
p_375,Patologia_375,Endocrino,0.319,0.8707,0.3
p_376,Patologia_376,Neurológico,0.8449,0.4453,0.3
p_377,Patologia_377,Neurológico,0.0233,0.5148,0.3
p_378,Patologia_378,Neurológico,0.8145,0.3592,0.3
p_379,Patologia_379,Respiratorio,0.2819,0.593,0.3
p_380,Patologia_380,Endocrino,0.1182,0.1635,0.3
p_381,Patologia_381,Neurológico,0.6967,0.3911,0.3
p_382,Patologia_382,Digestivo,0.6289,0.9694,0.3
p_383,Patologia_383,Endocrino,0.8775,0.2581,0.3
p_384,Patologia_384,Endocrino,0.7351,0.6567,0.3
p_385,Patologia_385,Respiratorio,0.8035,0.3252,0.3
p_386,Patologia_386,Cardiovascular,0.282,0.7735,0.3
p_387,Patologia_387,Respiratorio,0.1774,0.1309,0.3
p_388,Patologia_388,Neurológico,0.7506,0.9698,0.3
p_389,Patologia_389,Digestivo,0.8068,0.4538,0.3
p_390,Patologia_390,Digestivo,0.9905,0.2361,0.3
p_391,Patologia_391,Neurológico,0.4126,0.0735,0.3
p_392,Patologia_392,Digestivo,0.372,0.1698,0.3
p_393,Patologia_393,Respiratorio,0.7764,0.5198,0.3
p_394,Patologia_394,Respiratorio,0.3408,0.337,0.3
p_395,Patologia_395,Neurológico,0.9308,0.8289,0.3
p_396,Patologia_396,Digestivo,0.8584,0.4309,0.3
p_397,Patologia_397,Endocrino,0.429,0.2487,0.3
p_398,Patologia_398,Cardiovascular,0.7509,0.6171,0.3
p_399,Patologia_399,Endocrino,0.7545,0.7068,0.3
p_400,Patologia_400,Respiratorio,0.1031,0.167,0.3
p_401,Patologia_401,Respiratorio,0.9026,0.1676,0.3
p_402,Patologia_402,Respiratorio,0.5053,0.0367,0.3
p_403,Patologia_403,Respiratorio,0.8265,0.7364,0.3
p_404,Patologia_404,Cardiovascular,0.32,0.6638,0.3
p_405,Patologia_405,Neurológico,0.8955,0.4746,0.3
p_406,Patologia_406,Respiratorio,0.3892,0.8442,0.3
p_407,Patologia_407,Digestivo,0.0108,0.8057,0.3
p_408,Patologia_408,Cardiovascular,0.9054,0.5854,0.3
p_409,Patologia_409,Respiratorio,0.0913,0.8683,0.3
p_410,Patologia_410,Digestivo,0.3193,0.2058,0.3
p_411,Patologia_411,Respiratorio,0.9501,0.1119,0.3
p_412,Patologia_412,Neurológico,0.9506,0.2697,0.3
p_413,Patologia_413,Cardiovascular,0.5734,0.0571,0.3
p_414,Patologia_414,Neurológico,0.6318,0.5312,0.3
p_415,Patologia_415,Cardiovascular,0.4484,0.9366,0.3
p_416,Patologia_416,Respiratorio,0.2932,0.0393,0.3
p_417,Patologia_417,Respiratorio,0.3287,0.1221,0.3
p_418,Patologia_418,Cardiovascular,0.6725,0.4522,0.3
p_419,Patologia_419,Digestivo,0.7524,0.9339,0.3
p_420,Patologia_420,Digestivo,0.7916,0.3162,0.3
p_421,Patologia_421,Respiratorio,0.7896,0.5072,0.3
p_422,Patologia_422,Respiratorio,0.0912,0.0416,0.3
p_423,Patologia_423,Neurológico,0.4944,0.1483,0.3
p_424,Patologia_424,Respiratorio,0.0576,0.9866,0.3
p_425,Patologia_425,Cardiovascular,0.5495,0.9651,0.3
p_426,Patologia_426,Digestivo,0.4415,0.0049,0.3
p_427,Patologia_427,Digestivo,0.8877,0.9518,0.3
p_428,Patologia_428,Neurológico,0.3509,0.6391,0.3
p_429,Patologia_429,Digestivo,0.1171,0.8679,0.3
p_430,Patologia_430,Digestivo,0.143,0.4547,0.3
p_431,Patologia_431,Endocrino,0.7615,0.5156,0.3
p_432,Patologia_432,Cardiovascular,0.6182,0.4888,0.3
p_433,Patologia_433,Endocrino,0.1011,0.6669,0.3
p_434,Patologia_434,Digestivo,0.0841,0.1397,0.3
p_435,Patologia_435,Neurológico,0.701,0.03,0.3
p_436,Patologia_436,Neurológico,0.0728,0.3079,0.3
p_437,Patologia_437,Digestivo,0.8219,0.7047,0.3
p_438,Patologia_438,Respiratorio,0.7062,0.2019,0.3
p_439,Patologia_439,Endocrino,0.0813,0.6734,0.3
p_440,Patologia_440,Digestivo,0.0848,0.9699,0.3
p_441,Patologia_441,Neurológico,0.9866,0.0939,0.3
p_442,Patologia_442,Neurológico,0.3743,0.6726,0.3
p_443,Patologia_443,Endocrino,0.3706,0.4438,0.3
