from,to,tipo,fuente
a16,a560,diagnostico_diferencial,sintetico
a16,a751,diagnostico_diferencial,sintetico
a17,a695,diagnostico_diferencial,sintetico
a17,a10,diagnostico_diferencial,sintetico
a17,a962,diagnostico_diferencial,sintetico
a17,a516,diagnostico_diferencial,sintetico
a17,a131,diagnostico_diferencial,sintetico
a18,a173,diagnostico_diferencial,sintetico
a18,a199,diagnostico_diferencial,sintetico
a18,a604,diagnostico_diferencial,sintetico
a18,a582,diagnostico_diferencial,sintetico
a18,a51,diagnostico_diferencial,sintetico
a19,a382,diagnostico_diferencial,sintetico
a19,a860,diagnostico_diferencial,sintetico
a19,a966,diagnostico_diferencial,sintetico
a19,a673,diagnostico_diferencial,sintetico
a19,a767,diagnostico_diferencial,sintetico
a20,a985,diagnostico_diferencial,sintetico
a20,a431,diagnostico_diferencial,sintetico
a20,a671,diagnostico_diferencial,sintetico
a20,a761,diagnostico_diferencial,sintetico
a20,a857,diagnostico_diferencial,sintetico
a21,a250,diagnostico_diferencial,sintetico
a21,a447,diagnostico_diferencial,sintetico
a21,a96,diagnostico_diferencial,sintetico
a21,a318,diagnostico_diferencial,sintetico
a21,a5,diagnostico_diferencial,sintetico
a22,a471,diagnostico_diferencial,sintetico
a22,a835,diagnostico_diferencial,sintetico
a22,a434,diagnostico_diferencial,sintetico
a22,a936,diagnostico_diferencial,sintetico
a22,a439,diagnostico_diferencial,sintetico
a23,a913,diagnostico_diferencial,sintetico
a23,a306,diagnostico_diferencial,sintetico
a23,a986,diagnostico_diferencial,sintetico
a23,a779,diagnostico_diferencial,sintetico
a23,a592,diagnostico_diferencial,sintetico
a24,a531,diagnostico_diferencial,sintetico
a24,a143,diagnostico_diferencial,sintetico
a24,a682,diagnostico_diferencial,sintetico
a24,a871,diagnostico_diferencial,sintetico
a24,a484,diagnostico_diferencial,sintetico
a25,a814,diagnostico_diferencial,sintetico
a25,a815,diagnostico_diferencial,sintetico
a25,a65,diagnostico_diferencial,sintetico
a25,a666,diagnostico_diferencial,sintetico
a25,a974,diagnostico_diferencial,sintetico
a26,a401,diagnostico_diferencial,sintetico
a26,a73,diagnostico_diferencial,sintetico
a26,a421,diagnostico_diferencial,sintetico
a26,a820,diagnostico_diferencial,sintetico
a26,a316,diagnostico_diferencial,sintetico
a27,a471,diagnostico_diferencial,sintetico
a27,a713,diagnostico_diferencial,sintetico
a27,a683,diagnostico_diferencial,sintetico
a27,a596,diagnostico_diferencial,sintetico
a27,a698,diagnostico_diferencial,sintetico
a28,a291,diagnostico_diferencial,sintetico
a28,a370,diagnostico_diferencial,sintetico
a28,a843,diagnostico_diferencial,sintetico
a28,a993,diagnostico_diferencial,sintetico
a28,a300,diagnostico_diferencial,sintetico
a29,a902,diagnostico_diferencial,sintetico
a29,a465,diagnostico_diferencial,sintetico
a29,a40,diagnostico_diferencial,sintetico
a29,a26,diagnostico_diferencial,sintetico
a29,a28,diagnostico_diferencial,sintetico
a30,a875,diagnostico_diferencial,sintetico
a30,a23,diagnostico_diferencial,sintetico
a30,a365,diagnostico_diferencial,sintetico
a30,a86,diagnostico_diferencial,sintetico
a30,a915,diagnostico_diferencial,sintetico
a31,a5,diagnostico_diferencial,sintetico
a31,a733,diagnostico_diferencial,sintetico
a31,a452,diagnostico_diferencial,sintetico
a31,a100,diagnostico_diferencial,sintetico
a31,a990,diagnostico_diferencial,sintetico
a32,a742,diagnostico_diferencial,sintetico
a32,a353,diagnostico_diferencial,sintetico
a32,a623,diagnostico_diferencial,sintetico
a32,a175,diagnostico_diferencial,sintetico
a32,a634,diagnostico_diferencial,sintetico
a33,a720,diagnostico_diferencial,sintetico
a33,a19,diagnostico_diferencial,sintetico
a33,a560,diagnostico_diferencial,sintetico
a33,a357,diagnostico_diferencial,sintetico
a33,a760,diagnostico_diferencial,sintetico
a34,a994,diagnostico_diferencial,sintetico
a34,a487,diagnostico_diferencial,sintetico
a34,a135,diagnostico_diferencial,sintetico
a34,a396,diagnostico_diferencial,sintetico
a34,a810,diagnostico_diferencial,sintetico
a35,a419,diagnostico_diferencial,sintetico
a35,a714,diagnostico_diferencial,sintetico
a35,a78,diagnostico_diferencial,sintetico
a35,a700,diagnostico_diferencial,sintetico
a35,a886,diagnostico_diferencial,sintetico
a36,a378,diagnostico_diferencial,sintetico
a36,a123,diagnostico_diferencial,sintetico
a36,a729,diagnostico_diferencial,sintetico
a36,a646,diagnostico_diferencial,sintetico
a36,a585,diagnostico_diferencial,sintetico
a37,a853,diagnostico_diferencial,sintetico
a37,a618,diagnostico_diferencial,sintetico
a37,a531,diagnostico_diferencial,sintetico
a37,a723,diagnostico_diferencial,sintetico
a37,a758,diagnostico_diferencial,sintetico
a38,a815,diagnostico_diferencial,sintetico
a38,a623,diagnostico_diferencial,sintetico
a38,a477,diagnostico_diferencial,sintetico
a38,a9,diagnostico_diferencial,sintetico
a38,a118,diagnostico_diferencial,sintetico
a39,a532,diagnostico_diferencial,sintetico
a39,a595,diagnostico_diferencial,sintetico
a39,a429,diagnostico_diferencial,sintetico
a39,a412,diagnostico_diferencial,sintetico
a39,a534,diagnostico_diferencial,sintetico
a40,a826,diagnostico_diferencial,sintetico
a40,a575,diagnostico_diferencial,sintetico
a40,a118,diagnostico_diferencial,sintetico
a40,a889,diagnostico_diferencial,sintetico
a40,a649,diagnostico_diferencial,sintetico
a41,a726,diagnostico_diferencial,sintetico
a41,a951,diagnostico_diferencial,sintetico
a41,a522,diagnostico_diferencial,sintetico
a41,a563,diagnostico_diferencial,sintetico
a41,a544,diagnostico_diferencial,sintetico
a42,a67,diagnostico_diferencial,sintetico
a42,a989,diagnostico_diferencial,sintetico
a42,a658,diagnostico_diferencial,sintetico
a42,a431,diagnostico_diferencial,sintetico
a42,a994,diagnostico_diferencial,sintetico
a43,a504,diagnostico_diferencial,sintetico
a43,a653,diagnostico_diferencial,sintetico
a43,a363,diagnostico_diferencial,sintetico
a43,a383,diagnostico_diferencial,sintetico
a43,a448,diagnostico_diferencial,sintetico
a44,a485,diagnostico_diferencial,sintetico
a44,a792,diagnostico_diferencial,sintetico
a44,a791,diagnostico_diferencial,sintetico
a44,a445,diagnostico_diferencial,sintetico
a44,a8,diagnostico_diferencial,sintetico
a45,a365,diagnostico_diferencial,sintetico
a45,a43,diagnostico_diferencial,sintetico
a45,a187,diagnostico_diferencial,sintetico
a45,a736,diagnostico_diferencial,sintetico
a45,a215,diagnostico_diferencial,sintetico
a46,a123,diagnostico_diferencial,sintetico
a46,a606,diagnostico_diferencial,sintetico
a46,a96,diagnostico_diferencial,sintetico
a46,a707,diagnostico_diferencial,sintetico
a46,a715,diagnostico_diferencial,sintetico
a47,a349,diagnostico_diferencial,sintetico
a47,a340,diagnostico_diferencial,sintetico
a47,a577,diagnostico_diferencial,sintetico
a47,a724,diagnostico_diferencial,sintetico
a47,a128,diagnostico_diferencial,sintetico
a48,a614,diagnostico_diferencial,sintetico
a48,a591,diagnostico_diferencial,sintetico
a48,a618,diagnostico_diferencial,sintetico
a48,a99,diagnostico_diferencial,sintetico
a48,a785,diagnostico_diferencial,sintetico
a49,a680,diagnostico_diferencial,sintetico
a49,a354,diagnostico_diferencial,sintetico
a49,a996,diagnostico_diferencial,sintetico
a49,a523,diagnostico_diferencial,sintetico
a49,a453,diagnostico_diferencial,sintetico
a50,a419,diagnostico_diferencial,sintetico
a50,a203,diagnostico_diferencial,sintetico
a50,a337,diagnostico_diferencial,sintetico
a50,a408,diagnostico_diferencial,sintetico
a50,a211,diagnostico_diferencial,sintetico
a51,a986,diagnostico_diferencial,sintetico
a51,a261,diagnostico_diferencial,sintetico
a51,a988,diagnostico_diferencial,sintetico
a51,a820,diagnostico_diferencial,sintetico
a51,a355,diagnostico_diferencial,sintetico
a52,a105,diagnostico_diferencial,sintetico
a52,a734,diagnostico_diferencial,sintetico
a52,a314,diagnostico_diferencial,sintetico
a52,a505,diagnostico_diferencial,sintetico
a52,a619,diagnostico_diferencial,sintetico
a53,a226,diagnostico_diferencial,sintetico
a53,a106,diagnostico_diferencial,sintetico
a53,a778,diagnostico_diferencial,sintetico
a53,a593,diagnostico_diferencial,sintetico
a53,a685,diagnostico_diferencial,sintetico
a54,a289,diagnostico_diferencial,sintetico
a54,a211,diagnostico_diferencial,sintetico
a54,a800,diagnostico_diferencial,sintetico
a54,a82,diagnostico_diferencial,sintetico
a54,a464,diagnostico_diferencial,sintetico
a55,a701,diagnostico_diferencial,sintetico
a55,a699,diagnostico_diferencial,sintetico
a55,a405,diagnostico_diferencial,sintetico
a55,a561,diagnostico_diferencial,sintetico
a55,a663,diagnostico_diferencial,sintetico
a56,a6,diagnostico_diferencial,sintetico
a56,a35,diagnostico_diferencial,sintetico
a56,a62,diagnostico_diferencial,sintetico
a56,a806,diagnostico_diferencial,sintetico
a56,a271,diagnostico_diferencial,sintetico
a57,a130,diagnostico_diferencial,sintetico
a57,a154,diagnostico_diferencial,sintetico
a57,a203,diagnostico_diferencial,sintetico
a57,a212,diagnostico_diferencial,sintetico
a57,a983,diagnostico_diferencial,sintetico
a58,a234,diagnostico_diferencial,sintetico
a58,a211,diagnostico_diferencial,sintetico
a58,a772,diagnostico_diferencial,sintetico
a58,a609,diagnostico_diferencial,sintetico
a58,a202,diagnostico_diferencial,sintetico
a59,a480,diagnostico_diferencial,sintetico
a59,a182,diagnostico_diferencial,sintetico
a59,a964,diagnostico_diferencial,sintetico
a59,a89,diagnostico_diferencial,sintetico
a59,a208,diagnostico_diferencial,sintetico
a60,a603,diagnostico_diferencial,sintetico
a60,a558,diagnostico_diferencial,sintetico
a60,a793,diagnostico_diferencial,sintetico
a60,a730,diagnostico_diferencial,sintetico
a60,a24,diagnostico_diferencial,sintetico
a61,a342,diagnostico_diferencial,sintetico
a61,a847,diagnostico_diferencial,sintetico
a61,a204,diagnostico_diferencial,sintetico
a61,a825,diagnostico_diferencial,sintetico
a61,a859,diagnostico_diferencial,sintetico
a62,a408,diagnostico_diferencial,sintetico
a62,a353,diagnostico_diferencial,sintetico
a62,a7,diagnostico_diferencial,sintetico
a62,a495,diagnostico_diferencial,sintetico
a62,a839,diagnostico_diferencial,sintetico
a63,a178,diagnostico_diferencial,sintetico
a63,a791,diagnostico_diferencial,sintetico
a63,a214,diagnostico_diferencial,sintetico
a63,a733,diagnostico_diferencial,sintetico
a63,a713,diagnostico_diferencial,sintetico
a64,a58,diagnostico_diferencial,sintetico
a64,a237,diagnostico_diferencial,sintetico
a64,a521,diagnostico_diferencial,sintetico
a64,a61,diagnostico_diferencial,sintetico
a64,a235,diagnostico_diferencial,sintetico
a65,a183,diagnostico_diferencial,sintetico
a65,a651,diagnostico_diferencial,sintetico
a65,a699,diagnostico_diferencial,sintetico
a65,a125,diagnostico_diferencial,sintetico
a65,a25,diagnostico_diferencial,sintetico
a66,a350,diagnostico_diferencial,sintetico
a66,a379,diagnostico_diferencial,sintetico
a66,a643,diagnostico_diferencial,sintetico
a66,a750,diagnostico_diferencial,sintetico
a66,a848,diagnostico_diferencial,sintetico
a67,a790,diagnostico_diferencial,sintetico
a67,a539,diagnostico_diferencial,sintetico
a67,a466,diagnostico_diferencial,sintetico
a67,a105,diagnostico_diferencial,sintetico
a67,a607,diagnostico_diferencial,sintetico
a68,a447,diagnostico_diferencial,sintetico
a68,a95,diagnostico_diferencial,sintetico
a68,a112,diagnostico_diferencial,sintetico
a68,a181,diagnostico_diferencial,sintetico
a68,a688,diagnostico_diferencial,sintetico
a69,a681,diagnostico_diferencial,sintetico
a69,a543,diagnostico_diferencial,sintetico
a69,a700,diagnostico_diferencial,sintetico
a69,a741,diagnostico_diferencial,sintetico
a69,a665,diagnostico_diferencial,sintetico
a70,a649,diagnostico_diferencial,sintetico
a70,a897,diagnostico_diferencial,sintetico
a70,a6,diagnostico_diferencial,sintetico
a70,a998,diagnostico_diferencial,sintetico
a70,a574,diagnostico_diferencial,sintetico
a71,a145,diagnostico_diferencial,sintetico
a71,a10,diagnostico_diferencial,sintetico
a71,a61,diagnostico_diferencial,sintetico
a71,a595,diagnostico_diferencial,sintetico
a71,a153,diagnostico_diferencial,sintetico
a72,a296,diagnostico_diferencial,sintetico
a72,a655,diagnostico_diferencial,sintetico
a72,a100,diagnostico_diferencial,sintetico
a72,a522,diagnostico_diferencial,sintetico
a72,a635,diagnostico_diferencial,sintetico
a73,a951,diagnostico_diferencial,sintetico
a73,a646,diagnostico_diferencial,sintetico
a73,a950,diagnostico_diferencial,sintetico
a73,a798,diagnostico_diferencial,sintetico
a73,a623,diagnostico_diferencial,sintetico
a74,a207,diagnostico_diferencial,sintetico
a74,a728,diagnostico_diferencial,sintetico
a74,a789,diagnostico_diferencial,sintetico
a74,a655,diagnostico_diferencial,sintetico
a74,a44,diagnostico_diferencial,sintetico
a75,a672,diagnostico_diferencial,sintetico
a75,a984,diagnostico_diferencial,sintetico
a75,a760,diagnostico_diferencial,sintetico
a75,a822,diagnostico_diferencial,sintetico
a75,a13,diagnostico_diferencial,sintetico
a76,a554,diagnostico_diferencial,sintetico
a76,a626,diagnostico_diferencial,sintetico
a76,a510,diagnostico_diferencial,sintetico
a76,a923,diagnostico_diferencial,sintetico
a76,a197,diagnostico_diferencial,sintetico
a77,a773,diagnostico_diferencial,sintetico
a77,a908,diagnostico_diferencial,sintetico
a77,a999,diagnostico_diferencial,sintetico
a77,a97,diagnostico_diferencial,sintetico
a77,a477,diagnostico_diferencial,sintetico
a78,a10,diagnostico_diferencial,sintetico
a78,a389,diagnostico_diferencial,sintetico
a78,a376,diagnostico_diferencial,sintetico
a78,a453,diagnostico_diferencial,sintetico
a78,a836,diagnostico_diferencial,sintetico
a79,a579,diagnostico_diferencial,sintetico
a79,a329,diagnostico_diferencial,sintetico
a79,a717,diagnostico_diferencial,sintetico
a79,a530,diagnostico_diferencial,sintetico
a79,a82,diagnostico_diferencial,sintetico
a80,a382,diagnostico_diferencial,sintetico
a80,a311,diagnostico_diferencial,sintetico
a80,a486,diagnostico_diferencial,sintetico
a80,a460,diagnostico_diferencial,sintetico
a80,a33,diagnostico_diferencial,sintetico
a81,a513,diagnostico_diferencial,sintetico
a81,a641,diagnostico_diferencial,sintetico
a81,a708,diagnostico_diferencial,sintetico
a81,a774,diagnostico_diferencial,sintetico
a81,a99,diagnostico_diferencial,sintetico
a82,a341,diagnostico_diferencial,sintetico
a82,a582,diagnostico_diferencial,sintetico
a82,a104,diagnostico_diferencial,sintetico
a82,a812,diagnostico_diferencial,sintetico
a82,a168,diagnostico_diferencial,sintetico
a83,a329,diagnostico_diferencial,sintetico
a83,a429,diagnostico_diferencial,sintetico
a83,a180,diagnostico_diferencial,sintetico
a83,a441,diagnostico_diferencial,sintetico
a83,a238,diagnostico_diferencial,sintetico
a84,a382,diagnostico_diferencial,sintetico
a84,a139,diagnostico_diferencial,sintetico
a84,a642,diagnostico_diferencial,sintetico
a84,a515,diagnostico_diferencial,sintetico
a84,a564,diagnostico_diferencial,sintetico
a85,a988,diagnostico_diferencial,sintetico
a85,a507,diagnostico_diferencial,sintetico
a85,a937,diagnostico_diferencial,sintetico
a85,a791,diagnostico_diferencial,sintetico
a85,a320,diagnostico_diferencial,sintetico
a86,a919,diagnostico_diferencial,sintetico
a86,a985,diagnostico_diferencial,sintetico
a86,a278,diagnostico_diferencial,sintetico
a86,a500,diagnostico_diferencial,sintetico
a86,a166,diagnostico_diferencial,sintetico
a87,a500,diagnostico_diferencial,sintetico
a87,a120,diagnostico_diferencial,sintetico
a87,a461,diagnostico_diferencial,sintetico
a87,a794,diagnostico_diferencial,sintetico
a87,a365,diagnostico_diferencial,sintetico
a88,a446,diagnostico_diferencial,sintetico
a88,a340,diagnostico_diferencial,sintetico
a88,a249,diagnostico_diferencial,sintetico
a88,a357,diagnostico_diferencial,sintetico
a88,a408,diagnostico_diferencial,sintetico
a89,a85,diagnostico_diferencial,sintetico
a89,a188,diagnostico_diferencial,sintetico
a89,a674,diagnostico_diferencial,sintetico
a89,a213,diagnostico_diferencial,sintetico
a89,a477,diagnostico_diferencial,sintetico
a90,a172,diagnostico_diferencial,sintetico
a90,a909,diagnostico_diferencial,sintetico
a90,a669,diagnostico_diferencial,sintetico
a90,a784,diagnostico_diferencial,sintetico
a90,a629,diagnostico_diferencial,sintetico
a91,a589,diagnostico_diferencial,sintetico
a91,a839,diagnostico_diferencial,sintetico
a91,a696,diagnostico_diferencial,sintetico
a91,a571,diagnostico_diferencial,sintetico
a91,a265,diagnostico_diferencial,sintetico
a92,a614,diagnostico_diferencial,sintetico
a92,a429,diagnostico_diferencial,sintetico
a92,a681,diagnostico_diferencial,sintetico
a92,a47,diagnostico_diferencial,sintetico
a92,a306,diagnostico_diferencial,sintetico
a93,a628,diagnostico_diferencial,sintetico
a93,a313,diagnostico_diferencial,sintetico
a93,a893,diagnostico_diferencial,sintetico
a93,a606,diagnostico_diferencial,sintetico
a93,a224,diagnostico_diferencial,sintetico
a94,a286,diagnostico_diferencial,sintetico
a94,a163,diagnostico_diferencial,sintetico
a94,a408,diagnostico_diferencial,sintetico
a94,a746,diagnostico_diferencial,sintetico
a94,a757,diagnostico_diferencial,sintetico
a95,a825,diagnostico_diferencial,sintetico
a95,a559,diagnostico_diferencial,sintetico
a95,a827,diagnostico_diferencial,sintetico
a95,a811,diagnostico_diferencial,sintetico
a95,a710,diagnostico_diferencial,sintetico
a96,a565,diagnostico_diferencial,sintetico
a96,a717,diagnostico_diferencial,sintetico
a96,a966,diagnostico_diferencial,sintetico
a96,a73,diagnostico_diferencial,sintetico
a96,a736,diagnostico_diferencial,sintetico
a97,a48,diagnostico_diferencial,sintetico
a97,a974,diagnostico_diferencial,sintetico
a97,a936,diagnostico_diferencial,sintetico
a97,a115,diagnostico_diferencial,sintetico
a97,a522,diagnostico_diferencial,sintetico
a98,a899,diagnostico_diferencial,sintetico
a98,a409,diagnostico_diferencial,sintetico
a98,a33,diagnostico_diferencial,sintetico
a98,a222,diagnostico_diferencial,sintetico
a98,a88,diagnostico_diferencial,sintetico
a99,a733,diagnostico_diferencial,sintetico
a99,a400,diagnostico_diferencial,sintetico
a99,a55,diagnostico_diferencial,sintetico
a99,a266,diagnostico_diferencial,sintetico
a99,a992,diagnostico_diferencial,sintetico
a100,a224,diagnostico_diferencial,sintetico
a100,a54,diagnostico_diferencial,sintetico
a100,a849,diagnostico_diferencial,sintetico
a100,a297,diagnostico_diferencial,sintetico
a100,a1000,diagnostico_diferencial,sintetico
a101,a228,diagnostico_diferencial,sintetico
a101,a520,diagnostico_diferencial,sintetico
a101,a208,diagnostico_diferencial,sintetico
a101,a737,diagnostico_diferencial,sintetico
a101,a323,diagnostico_diferencial,sintetico
a102,a646,diagnostico_diferencial,sintetico
a102,a648,diagnostico_diferencial,sintetico
a102,a919,diagnostico_diferencial,sintetico
a102,a624,diagnostico_diferencial,sintetico
a102,a785,diagnostico_diferencial,sintetico
a103,a224,diagnostico_diferencial,sintetico
a103,a839,diagnostico_diferencial,sintetico
a103,a234,diagnostico_diferencial,sintetico
a103,a373,diagnostico_diferencial,sintetico
a103,a144,diagnostico_diferencial,sintetico
a104,a257,diagnostico_diferencial,sintetico
a104,a320,diagnostico_diferencial,sintetico
a104,a294,diagnostico_diferencial,sintetico
a104,a644,diagnostico_diferencial,sintetico
a104,a11,diagnostico_diferencial,sintetico
a105,a318,diagnostico_diferencial,sintetico
a105,a997,diagnostico_diferencial,sintetico
a105,a347,diagnostico_diferencial,sintetico
a105,a693,diagnostico_diferencial,sintetico
a105,a897,diagnostico_diferencial,sintetico
a106,a764,diagnostico_diferencial,sintetico
a106,a285,diagnostico_diferencial,sintetico
a106,a184,diagnostico_diferencial,sintetico
a106,a471,diagnostico_diferencial,sintetico
a106,a217,diagnostico_diferencial,sintetico
a107,a870,diagnostico_diferencial,sintetico
a107,a869,diagnostico_diferencial,sintetico
a107,a36,diagnostico_diferencial,sintetico
a107,a193,diagnostico_diferencial,sintetico
a107,a960,diagnostico_diferencial,sintetico
a108,a260,diagnostico_diferencial,sintetico
a108,a600,diagnostico_diferencial,sintetico
a108,a220,diagnostico_diferencial,sintetico
a108,a785,diagnostico_diferencial,sintetico
a108,a697,diagnostico_diferencial,sintetico
a109,a671,diagnostico_diferencial,sintetico
a109,a18,diagnostico_diferencial,sintetico
a109,a789,diagnostico_diferencial,sintetico
a109,a778,diagnostico_diferencial,sintetico
a109,a975,diagnostico_diferencial,sintetico
a110,a559,diagnostico_diferencial,sintetico
a110,a807,diagnostico_diferencial,sintetico
a110,a192,diagnostico_diferencial,sintetico
a110,a422,diagnostico_diferencial,sintetico
a110,a213,diagnostico_diferencial,sintetico
a111,a277,diagnostico_diferencial,sintetico
a111,a819,diagnostico_diferencial,sintetico
a111,a328,diagnostico_diferencial,sintetico
a111,a683,diagnostico_diferencial,sintetico
a111,a369,diagnostico_diferencial,sintetico
a112,a310,diagnostico_diferencial,sintetico
a112,a961,diagnostico_diferencial,sintetico
a112,a210,diagnostico_diferencial,sintetico
a112,a859,diagnostico_diferencial,sintetico
a112,a433,diagnostico_diferencial,sintetico
a113,a464,diagnostico_diferencial,sintetico
a113,a282,diagnostico_diferencial,sintetico
a113,a963,diagnostico_diferencial,sintetico
a113,a870,diagnostico_diferencial,sintetico
a113,a179,diagnostico_diferencial,sintetico
a114,a88,diagnostico_diferencial,sintetico
a114,a873,diagnostico_diferencial,sintetico
a114,a353,diagnostico_diferencial,sintetico
a114,a756,diagnostico_diferencial,sintetico
a114,a408,diagnostico_diferencial,sintetico
a115,a995,diagnostico_diferencial,sintetico
a115,a213,diagnostico_diferencial,sintetico
a115,a508,diagnostico_diferencial,sintetico
a115,a237,diagnostico_diferencial,sintetico
a115,a778,diagnostico_diferencial,sintetico
a116,a612,diagnostico_diferencial,sintetico
a116,a598,diagnostico_diferencial,sintetico
a116,a808,diagnostico_diferencial,sintetico
a116,a875,diagnostico_diferencial,sintetico
a116,a558,diagnostico_diferencial,sintetico
a117,a459,diagnostico_diferencial,sintetico
a117,a494,diagnostico_diferencial,sintetico
a117,a340,diagnostico_diferencial,sintetico
a117,a576,diagnostico_diferencial,sintetico
a117,a444,diagnostico_diferencial,sintetico
a118,a303,diagnostico_diferencial,sintetico
a118,a497,diagnostico_diferencial,sintetico
a118,a739,diagnostico_diferencial,sintetico
a118,a960,diagnostico_diferencial,sintetico
a118,a772,diagnostico_diferencial,sintetico
a119,a169,diagnostico_diferencial,sintetico
a119,a576,diagnostico_diferencial,sintetico
a119,a517,diagnostico_diferencial,sintetico
a119,a145,diagnostico_diferencial,sintetico
a119,a883,diagnostico_diferencial,sintetico
a120,a837,diagnostico_diferencial,sintetico
a120,a794,diagnostico_diferencial,sintetico
a120,a180,diagnostico_diferencial,sintetico
a120,a708,diagnostico_diferencial,sintetico
a120,a257,diagnostico_diferencial,sintetico
a121,a909,diagnostico_diferencial,sintetico
a121,a934,diagnostico_diferencial,sintetico
a121,a296,diagnostico_diferencial,sintetico
a121,a939,diagnostico_diferencial,sintetico
a121,a278,diagnostico_diferencial,sintetico
a122,a649,diagnostico_diferencial,sintetico
a122,a165,diagnostico_diferencial,sintetico
a122,a618,diagnostico_diferencial,sintetico
a122,a900,diagnostico_diferencial,sintetico
a122,a39,diagnostico_diferencial,sintetico
a123,a134,diagnostico_diferencial,sintetico
a123,a231,diagnostico_diferencial,sintetico
a123,a378,diagnostico_diferencial,sintetico
a123,a584,diagnostico_diferencial,sintetico
a123,a500,diagnostico_diferencial,sintetico
a124,a876,diagnostico_diferencial,sintetico
a124,a700,diagnostico_diferencial,sintetico
a124,a415,diagnostico_diferencial,sintetico
a124,a287,diagnostico_diferencial,sintetico
a124,a449,diagnostico_diferencial,sintetico
a125,a21,diagnostico_diferencial,sintetico
a125,a1,diagnostico_diferencial,sintetico
a125,a933,diagnostico_diferencial,sintetico
a125,a721,diagnostico_diferencial,sintetico
a125,a23,diagnostico_diferencial,sintetico
a126,a166,diagnostico_diferencial,sintetico
a126,a689,diagnostico_diferencial,sintetico
a126,a33,diagnostico_diferencial,sintetico
a126,a115,diagnostico_diferencial,sintetico
a126,a248,diagnostico_diferencial,sintetico
a127,a228,diagnostico_diferencial,sintetico
a127,a678,diagnostico_diferencial,sintetico
a127,a126,diagnostico_diferencial,sintetico
a127,a967,diagnostico_diferencial,sintetico
a127,a803,diagnostico_diferencial,sintetico
