from,to,exp,tol,peso,sensibilidad,especificidad,obligatorio
a7,x1095,0.73,0.42,0.73,0.94,0.64,True
a8,x2593,0.7,0.14,0.58,0.99,0.87,True
a8,x2329,0.93,0.41,0.68,0.77,0.42,False
a8,x705,0.97,0.32,0.26,0.94,0.26,False
a8,x117,0.85,0.25,0.51,0.42,0.61,True
a8,x282,0.74,0.16,0.97,0.89,0.24,True
a8,x1606,0.96,0.36,0.75,0.91,0.53,True
a8,x2114,0.69,0.29,0.28,0.92,0.7,True
a8,x2688,0.72,0.17,0.27,0.83,0.45,True
a8,x203,0.51,0.35,0.76,0.39,0.31,True
a8,x1182,0.56,0.45,0.9,0.47,0.69,True
a8,x602,0.78,0.19,0.38,0.5,0.23,True
a8,x1155,0.51,0.44,0.35,0.46,0.23,False
a8,x1359,0.98,0.39,0.62,0.31,0.36,True
a8,x2440,0.99,0.36,0.7,0.8,0.25,False
a8,x1035,0.76,0.25,0.3,0.89,0.7,True
a9,x236,0.74,0.37,0.54,0.43,0.54,True
a9,x2033,0.9,0.29,0.98,0.51,0.63,False
a9,x2862,0.95,0.26,0.85,0.97,0.98,False
a9,x1390,0.81,0.4,0.36,0.96,0.88,True
a9,x709,0.95,0.29,0.77,0.67,0.26,False
a9,x969,0.99,0.23,0.51,0.43,0.94,True
a9,x648,0.97,0.15,0.71,0.35,0.69,False
a10,x928,0.71,0.44,0.52,0.99,0.72,False
a10,x2909,0.6,0.34,0.43,0.56,0.93,True
a10,x1110,0.95,0.26,0.31,0.38,0.66,False
a10,x2900,0.72,0.47,0.65,0.57,0.99,False
a10,x1811,0.73,0.38,0.74,0.73,0.64,True
a10,x1499,0.62,0.42,0.31,0.77,0.22,True
a10,x1906,0.59,0.11,0.67,0.73,0.58,True
a10,x693,0.95,0.42,0.56,0.53,0.45,True
a10,x935,0.8,0.22,0.38,0.62,0.3,True
a11,x664,0.54,0.37,0.54,0.69,0.91,False
a11,x1546,0.79,0.29,0.61,0.38,0.58,False
a11,x362,0.7,0.32,0.73,0.69,0.57,True
a11,x1566,0.74,0.32,0.74,0.74,0.81,False
a11,x39,0.74,0.48,0.91,0.35,0.52,True
a11,x5,0.81,0.5,0.74,0.81,0.69,False
a11,x2686,0.62,0.16,0.23,0.67,0.96,False
a11,x2360,1.0,0.24,0.62,0.61,0.48,True
a11,x2698,0.95,0.28,0.76,0.85,0.64,True
a11,x1558,0.6,0.47,0.6,0.77,0.35,False
a12,x1036,0.58,0.16,0.87,0.53,0.97,False
a12,x1980,0.87,0.14,0.42,0.85,0.61,False
a12,x2886,0.77,0.46,0.95,0.39,0.74,True
a12,x1219,0.98,0.46,0.47,0.65,0.31,True
a12,x1850,0.55,0.36,0.63,0.92,0.49,False
a12,x756,0.73,0.42,0.23,0.35,0.21,False
a12,x2071,0.72,0.2,0.4,0.54,0.52,True
a12,x2490,0.88,0.27,0.27,0.99,0.73,True
a12,x191,0.92,0.26,0.22,0.65,0.49,True
a12,x2976,0.87,0.2,0.52,0.98,0.7,True
a12,x1905,0.66,0.37,0.93,0.93,0.44,True
a12,x284,0.83,0.22,0.52,0.66,0.41,False
a12,x1705,0.97,0.5,0.89,0.85,0.22,True
a13,x560,0.76,0.5,0.81,0.67,0.94,True
a13,x2060,0.81,0.31,0.64,0.67,0.69,True
a13,x626,0.61,0.5,0.71,0.76,0.36,False
a13,x1031,0.82,0.2,0.78,0.54,0.95,False
a13,x1974,0.51,0.35,0.51,0.85,0.53,False
a13,x2908,0.88,0.36,0.46,0.87,0.65,True
a13,x1028,0.89,0.43,0.74,0.32,0.29,False
a13,x244,0.63,0.11,0.76,0.57,0.93,False
a14,x2935,0.84,0.11,0.47,0.96,0.42,True
a14,x80,0.85,0.39,0.31,0.53,0.66,False
a14,x36,0.78,0.43,0.62,0.33,0.42,True
a14,x1992,0.88,0.28,0.95,0.92,0.72,False
a14,x1057,0.99,0.26,0.92,0.75,0.9,True
a14,x1536,0.88,0.12,0.39,0.67,0.61,True
a14,x185,0.99,0.45,0.59,0.51,0.5,True
a14,x1858,0.52,0.26,0.68,0.77,0.83,False
a14,x903,0.94,0.39,0.94,0.47,0.72,True
a15,x2278,0.52,0.14,0.92,0.36,0.95,True
a15,x480,0.65,0.27,0.44,0.91,0.4,True
a15,x107,0.56,0.25,0.87,0.43,0.44,False
a15,x3,0.69,0.25,0.85,0.8,0.45,True
a15,x1463,0.63,0.36,0.23,0.37,0.59,False
a15,x2051,0.94,0.17,0.89,0.35,0.78,False
a15,x638,0.85,0.27,0.22,0.88,0.94,False
a15,x421,0.78,0.34,0.58,0.85,0.33,False
a16,x50,0.8,0.22,0.83,0.84,0.61,False
a16,x1609,0.74,0.28,0.32,0.34,0.74,False
a16,x127,0.93,0.22,0.93,0.59,0.24,False
a16,x1418,0.96,0.44,0.53,0.48,0.72,True
a16,x1146,0.9,0.19,0.49,0.93,0.53,False
a17,x1850,0.52,0.1,0.58,0.36,0.91,False
a17,x1545,0.83,0.29,0.99,0.41,0.39,False
a17,x2603,0.73,0.31,0.34,0.55,0.6,False
a17,x1223,0.82,0.12,0.62,0.51,0.39,False
a17,x710,0.97,0.32,0.54,0.77,0.68,True
a17,x2857,0.86,0.34,0.74,0.65,0.88,False
a17,x2185,0.9,0.24,0.37,0.6,0.8,False
a17,x2029,0.77,0.13,0.51,0.71,0.36,True
a17,x2618,0.63,0.13,0.69,0.39,0.59,True
a17,x2899,0.58,0.27,0.76,0.67,0.93,False
a17,x929,0.56,0.15,0.98,0.95,0.83,False
a17,x1810,0.73,0.2,0.26,0.56,0.44,False
a17,x2421,0.84,0.35,0.62,0.85,0.46,True
a17,x1264,0.69,0.36,0.61,0.88,0.79,False
a18,x723,0.87,0.25,0.38,0.6,0.91,True
a18,x2698,0.95,0.36,0.72,0.66,0.5,True
a18,x1243,0.89,0.28,0.34,0.75,0.35,True
a18,x2937,0.95,0.4,0.76,0.46,0.27,True
a18,x2723,0.67,0.48,0.45,0.41,0.98,True
a18,x1742,0.53,0.23,0.89,0.38,0.61,False
a18,x2799,0.97,0.49,0.28,0.35,0.31,False
a18,x164,0.87,0.12,0.21,0.42,0.64,True
a19,x1513,0.88,0.39,0.51,0.71,0.55,True
a19,x375,0.93,0.2,0.33,0.92,0.36,False
a19,x1523,0.55,0.42,0.92,0.61,0.87,True
a19,x248,0.69,0.23,0.57,0.61,0.33,False
a19,x332,0.85,0.42,0.32,0.87,0.94,False
a19,x1498,0.75,0.34,0.89,0.7,0.6,True
a19,x902,0.75,0.34,0.86,0.88,0.86,True
a19,x284,0.53,0.45,0.53,0.65,0.93,True
a19,x2027,0.98,0.29,0.85,0.33,0.93,True
a19,x827,0.9,0.4,0.28,0.63,0.87,True
a19,x671,0.83,0.4,0.23,0.55,0.46,False
a19,x1854,0.86,0.49,0.61,0.74,0.29,True
a19,x1107,0.54,0.49,0.68,0.42,0.74,False
a19,x545,0.71,0.31,0.26,0.91,0.71,True
a19,x589,0.55,0.14,0.3,0.96,0.86,True
a19,x2758,0.79,0.25,0.78,0.34,0.94,True
a19,x757,0.83,0.42,0.74,0.32,0.4,False
a19,x2901,0.61,0.11,0.74,0.6,0.42,True
a20,x1550,0.57,0.16,0.77,0.97,0.65,False
a20,x1621,0.94,0.16,0.55,0.47,0.5,True
a20,x321,0.97,0.32,0.75,0.49,0.91,True
a20,x424,0.83,0.19,0.53,0.89,0.29,False
a20,x1076,0.52,0.39,0.77,0.59,0.27,True
a20,x1911,0.75,0.3,0.9,0.65,0.26,False
a20,x149,0.53,0.18,0.58,0.86,0.29,True
a20,x2801,0.82,0.11,0.97,0.58,0.73,True
a20,x1332,0.92,0.19,0.83,0.34,0.43,True
a20,x2144,0.97,0.37,0.23,0.99,0.49,True
a20,x2534,0.66,0.15,0.88,0.92,0.91,True
a20,x2945,0.52,0.16,0.86,0.56,0.95,True
a20,x1715,0.89,0.39,0.72,0.99,0.73,False
a20,x2717,0.85,0.17,0.4,0.81,0.42,False
a20,x2075,0.9,0.11,0.81,0.44,0.38,False
a20,x1165,0.78,0.23,0.21,0.97,0.61,True
a20,x89,0.95,0.44,0.61,0.58,0.45,True
a20,x2557,0.73,0.2,0.21,0.79,0.41,False
a21,x1460,0.86,0.2,0.39,0.44,0.51,True
a21,x2672,0.92,0.44,0.23,0.89,0.27,True
a21,x2284,0.93,0.43,0.8,0.51,0.36,False
a21,x2250,0.87,0.5,0.49,0.67,0.45,False
a21,x1685,0.75,0.16,0.6,0.39,0.46,False
a21,x1352,0.92,0.34,0.8,0.5,0.64,False
a21,x279,0.69,0.1,0.59,0.85,0.6,False
a21,x124,0.84,0.13,0.99,0.44,0.63,False
a21,x240,0.77,0.3,0.5,0.84,0.59,False
a21,x308,0.79,0.19,0.49,0.44,0.84,True
a22,x874,0.75,0.36,0.49,0.89,0.88,False
a22,x2765,0.78,0.35,0.93,0.97,0.2,False
a22,x2708,0.53,0.49,0.34,0.53,0.27,True
a22,x2107,0.63,0.16,0.63,0.79,0.92,False
a22,x2270,0.81,0.28,0.4,0.94,0.25,True
a22,x198,0.72,0.15,0.64,0.43,0.72,False
a23,x346,0.7,0.16,0.71,0.38,0.54,True
a23,x785,0.53,0.26,0.89,0.63,0.56,True
a23,x219,0.57,0.31,0.21,0.96,0.78,True
a23,x2714,0.69,0.35,0.96,0.97,0.88,False
a23,x2225,0.85,0.46,0.45,0.7,0.82,False
a23,x2511,0.75,0.12,0.91,0.91,0.81,False
a23,x2531,0.53,0.24,0.29,0.66,0.94,True
a24,x539,0.75,0.26,0.74,0.81,0.95,False
a24,x164,0.9,0.26,0.84,0.54,0.34,False
a24,x2205,0.76,0.27,0.69,0.95,0.8,True
a24,x2042,0.65,0.42,0.52,0.83,0.32,False
a24,x1361,0.94,0.4,0.34,0.37,0.68,True
a24,x2298,0.93,0.31,0.25,0.38,0.37,True
a24,x354,0.78,0.19,0.92,0.54,0.73,False
a24,x113,0.65,0.32,0.52,0.48,0.99,False
a24,x511,0.93,0.28,0.86,0.84,0.77,False
a24,x2696,0.63,0.12,0.46,0.67,0.25,False
a24,x765,0.77,0.43,0.4,0.4,0.85,True
a24,x2093,0.92,0.14,0.66,0.69,0.93,False
a24,x1311,0.6,0.43,0.47,0.32,0.41,False
a24,x742,0.93,0.13,0.22,0.9,0.72,True
a24,x1261,0.56,0.2,0.83,0.95,0.58,False
a24,x1115,0.72,0.15,0.88,0.94,0.61,False
a24,x2903,0.55,0.5,0.32,0.82,0.67,False
a24,x2524,0.62,0.21,0.25,0.89,0.64,False
a24,x297,0.78,0.44,0.44,0.89,0.22,False
a25,x1287,0.64,0.46,0.47,0.47,0.94,True
a25,x2828,0.95,0.3,0.97,0.87,0.88,False
a25,x173,0.71,0.16,0.82,0.33,0.2,False
a25,x1083,0.84,0.15,0.35,0.52,0.24,False
a25,x1232,0.53,0.32,0.74,0.68,0.76,True
a25,x1715,0.54,0.45,0.93,0.68,0.22,False
a25,x1176,0.69,0.19,0.75,0.75,0.84,True
a25,x2365,0.85,0.36,0.3,0.81,0.94,True
a25,x942,0.52,0.33,0.79,0.57,0.32,False
a25,x2607,0.57,0.14,0.85,0.32,0.45,False
a25,x1464,0.99,0.26,0.67,0.89,0.92,True
a25,x1697,0.82,0.48,0.85,0.43,0.33,False
a25,x2558,0.98,0.44,0.64,0.62,0.79,False
a25,x1859,0.88,0.32,0.54,0.39,0.65,False
a25,x2081,0.85,0.13,0.74,0.87,0.81,False
a25,x1712,0.71,0.25,0.76,0.47,0.44,False
a25,x2122,0.65,0.43,0.86,0.59,0.44,True
a25,x327,0.72,0.16,0.66,0.7,0.21,True
a25,x2848,0.75,0.31,0.6,0.6,0.95,True
a25,x1329,0.91,0.24,0.21,0.32,0.61,True
a26,x585,0.76,0.37,0.63,0.63,0.55,True
a26,x592,0.96,0.13,0.82,0.83,0.55,False
a26,x1181,0.85,0.23,0.26,0.52,0.27,True
a26,x355,0.78,0.18,0.54,0.37,0.66,False
a26,x2836,0.52,0.33,0.53,0.42,0.78,False
a26,x1389,0.78,0.4,0.68,0.67,0.39,False
a26,x2915,0.9,0.47,0.34,0.34,0.23,False
a26,x1055,0.83,0.35,0.53,0.75,0.78,False
a26,x1867,0.87,0.44,0.32,0.7,0.43,False
a26,x528,0.81,0.1,0.67,1.0,0.82,True
a26,x2189,0.73,0.27,0.28,0.37,0.96,True
a27,x2679,0.86,0.47,0.86,0.52,0.65,False
a27,x583,0.56,0.39,0.72,0.5,0.83,True
a27,x496,0.91,0.38,0.94,0.54,0.82,True
a27,x2839,0.93,0.42,0.66,0.7,0.38,True
a27,x1138,0.75,0.23,0.85,0.91,0.83,True
a27,x2084,0.82,0.48,0.98,0.79,0.74,True
a27,x2594,0.71,0.4,0.88,0.67,0.9,True
a28,x1672,0.52,0.37,0.28,0.4,0.86,False
a28,x507,0.8,0.17,0.22,0.85,0.72,True
a28,x886,0.62,0.23,0.87,0.46,0.88,False
a28,x92,0.91,0.45,0.24,0.61,0.69,False
a28,x7,0.89,0.25,0.88,0.93,0.81,True
a28,x1405,0.91,0.18,0.35,0.94,0.4,True
a28,x2507,0.82,0.41,0.82,0.94,0.48,True
a28,x1547,0.82,0.26,0.82,0.78,0.24,True
a28,x543,0.52,0.16,0.54,0.94,0.54,False
a28,x446,0.88,0.21,0.67,0.88,0.47,True
a28,x2485,0.54,0.25,0.93,0.37,0.78,True
a28,x2409,0.83,0.33,0.51,0.91,0.28,False
a28,x71,0.91,0.34,0.43,0.71,0.83,True
a28,x384,0.68,0.27,0.26,0.58,0.3,True
a28,x1800,0.91,0.1,0.98,0.8,0.84,True
a28,x1419,0.72,0.43,0.25,0.31,0.93,True
a29,x78,0.58,0.45,0.73,0.64,0.54,False
a29,x1231,0.95,0.29,0.82,0.71,0.32,False
a29,x86,0.54,0.43,0.48,0.8,0.65,True
a29,x2389,0.68,0.38,0.88,0.96,0.36,True
a29,x1541,0.54,0.41,0.23,0.78,0.62,False
a29,x1000,0.86,0.24,0.67,0.44,0.31,False
a29,x2264,0.5,0.36,0.44,0.59,0.96,True
a30,x2345,0.68,0.18,0.62,0.42,0.81,False
a30,x997,0.85,0.2,0.37,0.35,0.33,False
a30,x1063,0.6,0.16,0.47,0.68,0.5,False
a30,x2954,0.69,0.22,0.65,0.73,0.44,False
a30,x1227,0.63,0.2,0.3,0.44,0.82,True
a30,x2441,0.57,0.16,0.86,0.54,0.59,True
a30,x1251,0.69,0.47,0.51,0.4,0.27,True
a30,x2901,0.67,0.16,0.9,0.68,0.21,False
a30,x2277,0.73,0.12,0.84,0.54,0.77,True
a30,x1569,0.83,0.35,0.33,0.58,0.82,False
a30,x605,0.65,0.38,0.43,0.98,0.87,True
a31,x2714,0.71,0.32,0.5,0.9,0.73,True
a31,x1543,0.9,0.22,0.49,0.86,0.38,False
a31,x2387,0.86,0.38,0.93,0.85,0.71,True
a31,x1083,0.72,0.36,0.7,1.0,0.72,True
a31,x1619,0.95,0.25,0.22,0.88,0.75,False
a31,x213,0.75,0.47,0.67,0.82,0.44,False
a31,x672,0.77,0.26,0.31,0.94,0.79,False
a31,x703,0.75,0.32,0.8,0.84,0.78,False
a31,x76,0.83,0.35,0.84,0.62,0.5,False
a31,x2504,0.66,0.13,0.55,0.68,0.55,False
a31,x2896,0.64,0.44,0.69,0.38,0.27,True
a31,x928,0.94,0.25,0.53,0.67,0.94,False
a31,x2032,0.62,0.26,0.93,0.94,0.9,False
a31,x1237,0.82,0.2,0.38,0.67,0.54,False
a31,x1101,0.8,0.43,0.37,0.77,0.99,False
a31,x2025,0.83,0.25,0.68,0.56,0.71,True
a32,x2911,0.66,0.4,0.53,0.52,0.95,False
a32,x837,0.61,0.49,0.28,0.82,0.96,False
a32,x1477,0.66,0.19,0.26,0.66,0.81,False
a32,x1111,0.84,0.41,0.29,0.74,0.92,True
a32,x1782,0.98,0.34,0.74,0.37,0.96,True
a32,x304,0.89,0.31,0.5,0.39,0.41,False
a32,x191,0.63,0.44,0.96,0.51,0.74,True
a32,x2091,0.71,0.44,0.59,0.6,0.35,True
a32,x2798,0.57,0.38,0.63,0.44,0.32,False
a32,x1684,0.57,0.44,0.93,0.86,0.77,True
a32,x2548,0.59,0.34,0.22,0.48,0.57,True
a32,x514,0.92,0.34,0.92,0.6,0.96,True
a32,x1843,0.72,0.13,0.33,0.59,0.45,False
a32,x1713,0.79,0.25,0.62,0.97,0.6,False
a32,x886,0.79,0.26,0.44,0.37,0.4,True
a32,x2520,0.92,0.1,0.64,0.44,0.5,False
a32,x68,0.91,0.24,0.72,0.53,0.98,True
a32,x1613,0.64,0.43,0.24,0.71,0.85,False
a32,x1227,0.88,0.21,0.67,0.32,0.93,True
a33,x1226,0.92,0.44,0.94,0.64,0.56,True
a33,x1600,0.95,0.3,0.54,0.88,0.44,False
a33,x2607,0.95,0.36,0.55,0.6,0.48,False
a33,x2743,0.98,0.44,0.27,0.63,0.38,True
a33,x1761,0.64,0.11,0.98,0.47,0.75,False
a33,x2008,0.66,0.32,0.21,0.63,0.95,False
a33,x621,0.82,0.29,0.27,0.59,0.26,False
a33,x738,0.57,0.48,0.72,0.7,0.87,False
a33,x2014,0.84,0.49,0.64,0.89,0.42,False
a33,x2789,0.74,0.25,0.63,0.83,0.52,True
a33,x545,0.6,0.15,0.31,0.65,0.54,False
a33,x512,0.84,0.36,0.4,0.93,0.87,False
a33,x194,0.6,0.18,0.85,0.98,0.28,False
a33,x2432,0.54,0.23,0.99,0.45,0.51,True
a33,x1798,0.84,0.27,0.35,0.98,0.61,False
a33,x2231,0.88,0.24,0.91,0.96,0.97,True
a33,x1503,0.92,0.11,0.78,0.98,0.49,False
a34,x871,0.85,0.25,0.69,0.95,0.32,True
a34,x479,0.56,0.13,0.38,0.61,0.66,True
a34,x1269,0.8,0.44,0.21,0.35,0.84,True
a34,x399,0.51,0.43,0.99,0.38,0.75,False
a34,x1771,0.68,0.19,0.58,0.37,0.73,False
a34,x878,0.88,0.28,0.64,0.45,0.38,False
a34,x1837,0.6,0.4,0.27,0.35,0.21,False
a34,x581,0.84,0.33,0.74,0.64,0.81,False
a34,x2603,0.9,0.39,0.95,0.5,0.72,True
a34,x603,0.94,0.33,0.29,0.36,0.4,False
a34,x80,0.64,0.2,0.27,0.99,0.51,True
a34,x2257,0.82,0.13,0.89,0.9,0.64,True
a34,x2734,0.85,0.15,0.54,0.38,0.33,True
a34,x1704,0.76,0.16,0.57,0.43,0.84,False
a34,x2019,0.96,0.27,0.96,0.91,0.79,False
a34,x1677,0.86,0.27,0.83,0.45,0.41,True
a34,x389,0.97,0.18,0.58,0.36,0.55,True
a35,x1328,0.68,0.27,0.85,0.63,0.87,True
a35,x2767,0.95,0.49,0.59,0.79,0.94,True
a35,x644,0.56,0.39,0.63,0.56,0.73,False
a35,x707,0.95,0.2,0.41,0.87,0.79,False
a35,x1289,0.6,0.44,0.63,0.97,0.27,False
a35,x1147,0.97,0.11,0.36,0.3,0.54,True
a35,x2040,0.96,0.33,0.31,0.73,0.42,True
a35,x1670,0.71,0.21,0.77,0.74,0.29,False
a35,x1878,0.88,0.16,0.57,0.51,0.52,False
a35,x584,0.9,0.44,0.46,0.64,0.28,True
a36,x1341,0.65,0.29,0.49,0.88,0.67,False
a36,x40,0.76,0.11,0.45,0.8,0.39,True
a36,x1869,0.94,0.15,0.68,0.74,0.83,False
a36,x2557,0.66,0.39,0.37,0.59,0.81,True
a36,x433,0.58,0.48,0.33,0.54,0.92,False
a36,x1707,0.88,0.42,0.24,0.5,0.52,False
a36,x1365,0.61,0.36,0.29,0.54,0.21,False
a36,x2934,0.99,0.5,0.53,0.43,0.33,True
a36,x1305,0.95,0.47,0.24,0.62,0.59,True
a36,x450,0.55,0.26,0.89,0.76,0.45,True
a36,x1859,0.68,0.36,0.8,0.32,0.36,True
a37,x1845,0.61,0.25,0.64,0.99,0.53,False
a37,x1631,0.98,0.47,0.27,0.97,0.86,False
a37,x2146,0.65,0.28,0.62,0.62,0.55,True
a37,x2105,1.0,0.45,0.21,0.56,0.28,True
a37,x1374,0.99,0.29,0.32,0.55,0.9,False
a37,x280,0.61,0.19,0.95,0.93,0.97,False
a37,x1197,0.7,0.47,0.22,0.31,0.89,False
a37,x308,0.84,0.37,0.73,0.65,0.42,True
a37,x1749,0.99,0.24,0.7,0.81,0.92,False
a37,x1715,0.92,0.3,0.28,0.71,0.65,False
a37,x1506,0.85,0.46,0.44,0.78,0.5,True
a37,x687,0.63,0.11,0.39,0.41,0.53,False
a38,x1140,0.91,0.23,0.2,0.86,0.42,False
a38,x2367,0.63,0.23,0.89,0.94,0.69,False
a38,x1612,0.51,0.2,0.62,0.31,0.48,False
a38,x310,0.86,0.39,0.46,0.81,0.47,True
a38,x2840,0.61,0.25,0.82,0.66,0.66,True
a38,x2235,0.81,0.14,0.85,0.56,0.79,True
a38,x2756,1.0,0.47,0.55,0.99,0.2,True
a38,x663,0.54,0.4,0.72,0.78,0.61,True
a38,x1,0.74,0.21,0.57,0.96,0.38,False
a39,x2464,0.68,0.2,0.97,0.55,0.55,False
a39,x1844,0.78,0.24,0.76,0.78,0.34,True
a39,x1842,0.7,0.1,0.87,0.87,0.66,True
a39,x2846,0.75,0.11,0.7,0.48,0.37,False
a39,x735,0.93,0.19,0.53,1.0,0.98,True
a39,x529,0.89,0.13,0.59,0.63,0.78,True
a39,x774,0.53,0.46,0.64,0.61,0.76,False
a39,x2466,0.84,0.43,0.79,0.76,0.92,False
a39,x1062,0.71,0.32,0.67,0.63,0.63,True
a39,x647,0.66,0.34,0.58,0.7,0.53,True
a39,x47,0.57,0.24,0.69,0.36,0.78,False
a39,x2615,0.53,0.44,0.31,0.31,0.53,False
a39,x30,0.59,0.48,0.8,0.33,0.98,True
a39,x603,0.74,0.33,0.53,0.37,0.47,True
a39,x1014,0.75,0.35,0.38,0.61,0.86,True
a39,x2321,0.71,0.34,0.32,0.81,0.86,False
a39,x2332,0.74,0.14,0.75,0.61,0.28,False
a39,x605,0.76,0.14,0.91,0.56,0.29,True
a39,x210,0.58,0.42,0.79,0.69,0.42,False
a39,x1175,0.76,0.12,0.5,0.52,0.9,False
a40,x2149,0.56,0.14,0.84,0.33,0.61,False
a40,x980,0.86,0.26,0.78,0.55,0.25,False
