from,to
q_1165,v_1846
q_769,v_468
q_1190,v_1915
q_1342,v_387
q_657,v_1366
q_992,v_735
q_1358,v_653
q_988,v_2088
q_1497,v_1509
q_1168,v_952
q_1077,v_1725
q_121,v_2856
q_1147,v_1580
q_166,v_381
q_943,v_95
q_833,v_911
q_21,v_786
q_1299,v_292
q_407,v_340
q_481,v_718
q_298,v_2585
q_276,v_1373
q_815,v_2919
q_321,v_959
q_114,v_2428
q_271,v_2906
q_1191,v_2646
q_1459,v_2977
q_263,v_1914
q_249,v_2809
q_1485,v_2411
q_877,v_2613
q_438,v_968
q_1365,v_2874
q_1489,v_1939
q_1081,v_2030
q_4,v_1574
q_862,v_504
q_264,v_1869
q_1272,v_2032
q_94,v_2265
q_818,v_1882
q_696,v_2529
q_1480,v_2984
q_740,v_2796
q_316,v_1348
q_773,v_835
q_118,v_488
q_793,v_1431
q_201,v_2847
q_1076,v_2258
q_316,v_2713
q_1267,v_258
q_1117,v_1250
q_1303,v_2022
q_1115,v_1617
q_812,v_2419
q_37,v_1414
q_412,v_991
q_242,v_2135
q_1387,v_399
q_1087,v_308
q_854,v_3
q_200,v_1196
q_306,v_1567
q_174,v_2273
q_971,v_2386
q_1015,v_1229
q_993,v_1125
q_596,v_2105
q_671,v_1804
q_693,v_1173
q_547,v_2603
q_1122,v_1565
q_1249,v_918
q_548,v_523
q_272,v_525
q_975,v_1315
q_783,v_23
q_1209,v_2810
q_939,v_1654
q_451,v_1613
q_560,v_241
q_93,v_202
q_1330,v_236
q_516,v_950
q_953,v_293
q_173,v_1110
q_694,v_209
q_1096,v_787
q_1168,v_1632
q_907,v_2276
q_55,v_409
q_694,v_2817
q_633,v_962
q_243,v_1491
q_893,v_457
q_203,v_2601
q_15,v_2260
q_125,v_1831
q_598,v_1928
q_465,v_385
q_789,v_1435
q_1451,v_527
q_1374,v_1411
q_78,v_989
q_788,v_101
q_1402,v_1612
q_263,v_389
q_304,v_1225
q_739,v_1415
q_124,v_840
q_617,v_1377
q_741,v_1616
q_80,v_1779
q_871,v_234
q_174,v_113
q_675,v_1983
q_1148,v_808
q_347,v_1063
q_1390,v_2150
q_1438,v_410
q_877,v_1318
q_842,v_1588
q_573,v_807
q_723,v_1587
q_1275,v_1060
q_607,v_66
q_568,v_2450
q_233,v_1697
q_357,v_2253
q_1349,v_340
q_1088,v_1857
q_292,v_1075
q_1347,v_2473
q_990,v_955
q_1354,v_208
q_528,v_1537
q_134,v_2010
q_819,v_2723
q_1442,v_1888
q_129,v_368
q_568,v_1762
q_1380,v_993
q_521,v_81
q_459,v_1187
q_592,v_376
q_941,v_2
q_900,v_683
q_613,v_763
q_538,v_265
q_260,v_2482
q_1159,v_2729
q_608,v_724
q_1250,v_2840
q_227,v_1250
q_760,v_2423
q_257,v_1285
q_1437,v_2413
q_825,v_766
q_1243,v_2475
q_1259,v_1031
q_1043,v_1953
q_423,v_1064
q_412,v_1901
q_1412,v_2690
q_344,v_2611
q_649,v_1125
q_466,v_1242
q_188,v_2291
q_1391,v_2892
q_1408,v_938
q_1121,v_302
q_952,v_369
q_269,v_850
q_664,v_2322
q_1241,v_2117
q_20,v_46
q_1295,v_2164
q_713,v_2564
q_1183,v_831
q_428,v_2666
q_575,v_755
q_595,v_1452
q_584,v_2083
q_1017,v_904
q_990,v_2454
q_658,v_1708
q_1070,v_2459
q_222,v_2535
q_959,v_778
q_157,v_1790
q_1070,v_1938
q_800,v_831
q_721,v_1096
q_1374,v_1601
q_318,v_643
q_1254,v_412
q_297,v_2171
q_444,v_1005
q_104,v_2700
q_882,v_231
q_1322,v_2480
q_1091,v_490
q_537,v_1710
q_672,v_2133
q_800,v_1690
q_816,v_1223
q_1064,v_874
q_1223,v_2203
q_967,v_2804
q_862,v_897
q_1398,v_2579
q_1429,v_1869
q_1257,v_151
q_241,v_1351
q_942,v_171
q_1362,v_1428
q_19,v_1429
q_893,v_761
q_1194,v_1721
q_1239,v_1898
q_840,v_1359
q_743,v_1777
q_1039,v_692
q_1306,v_2242
q_300,v_1781
q_164,v_99
q_780,v_1587
q_1281,v_908
q_352,v_1920
q_1110,v_427
q_1020,v_586
q_870,v_2967
q_758,v_255
q_877,v_1473
q_752,v_720
q_865,v_2000
q_1032,v_2451
q_1486,v_1678
q_1320,v_2627
q_1240,v_406
q_227,v_1408
q_1055,v_1961
q_430,v_2289
q_788,v_2094
q_169,v_114
q_1254,v_1016
q_69,v_1731
q_1134,v_805
q_1112,v_2177
q_1,v_1580
q_1079,v_993
q_669,v_1996
q_270,v_494
q_1297,v_1852
q_543,v_81
q_269,v_2716
q_189,v_1205
q_721,v_1455
q_1331,v_1197
q_21,v_2856
q_13,v_2021
q_1487,v_2492
q_567,v_2916
q_1456,v_1311
q_574,v_560
q_1423,v_1285
q_591,v_1779
q_551,v_2104
q_805,v_2053
q_913,v_1598
q_278,v_944
q_767,v_578
q_1133,v_914
q_47,v_1718
q_743,v_161
q_1105,v_1640
q_685,v_774
q_624,v_56
q_1301,v_2575
q_380,v_1189
q_309,v_545
q_551,v_2093
q_541,v_2980
q_766,v_810
q_1263,v_46
q_1206,v_1413
q_183,v_2299
q_465,v_2213
q_638,v_2415
q_1460,v_1402
q_593,v_1412
q_1256,v_2629
q_703,v_571
q_0,v_1740
q_1007,v_347
q_361,v_844
q_718,v_2665
q_282,v_496
q_830,v_695
q_168,v_1873
q_888,v_1978
q_1209,v_2558
q_121,v_2499
q_440,v_542
q_638,v_215
q_473,v_2517
q_1145,v_2900
q_731,v_2351
q_940,v_297
q_659,v_1369
q_291,v_285
q_937,v_125
q_246,v_50
q_187,v_1442
q_1307,v_1725
q_556,v_470
q_1147,v_1399
q_889,v_2717
q_246,v_1503
q_1429,v_1329
q_1360,v_437
q_958,v_2898
q_1182,v_2389
q_1290,v_748
q_291,v_523
q_894,v_654
q_150,v_505
q_1308,v_398
q_150,v_2953
q_123,v_2108
q_271,v_1938
q_1363,v_1204
q_658,v_2360
q_607,v_264
q_1470,v_1052
q_980,v_711
q_1480,v_912
q_554,v_1614
q_530,v_1679
q_1136,v_1734
q_724,v_2386
q_645,v_1445
q_63,v_2136
q_1416,v_331
q_517,v_151
q_1378,v_707
q_1176,v_2173
q_328,v_420
q_689,v_1708
q_478,v_252
q_390,v_998
q_574,v_1834
q_411,v_1731
q_1281,v_292
q_868,v_1240
q_506,v_168
q_957,v_2781
q_293,v_2063
q_762,v_36
q_507,v_1444
q_118,v_1926
q_477,v_295
q_563,v_2482
q_841,v_2367
q_1342,v_2581
q_1418,v_2621
q_1071,v_922
q_1461,v_1820
q_474,v_980
q_945,v_2442
q_751,v_2324
q_549,v_648
q_727,v_282
q_135,v_1662
q_517,v_998
q_758,v_85
q_323,v_206
q_1220,v_2610
q_110,v_2524
q_1138,v_1766
q_723,v_2639
q_487,v_130
q_364,v_2447
q_766,v_135
q_831,v_2217
q_1333,v_1186
q_112,v_198
q_1293,v_738
q_319,v_2812
q_174,v_1517
q_1042,v_102
q_1226,v_547
q_125,v_5
q_994,v_710
q_1490,v_11
q_253,v_2150
q_928,v_2746
q_766,v_1856
q_291,v_1713
q_1175,v_426
q_198,v_170
q_1222,v_1712
q_686,v_88
q_1476,v_2763
q_781,v_854
q_940,v_1457
q_1203,v_2647
q_217,v_2473
q_629,v_177
q_817,v_2610
q_832,v_417
q_1343,v_553
q_22,v_241
q_636,v_1379
q_1107,v_1596
q_710,v_1461
q_1349,v_1465
q_698,v_2004
q_328,v_2455
q_1353,v_1946
q_710,v_1300
q_472,v_1070
q_477,v_821
q_1258,v_2577
q_921,v_1919
q_555,v_2547
q_587,v_1788
q_693,v_191
q_118,v_2096
q_1063,v_2141
q_259,v_930
q_948,v_1772
q_755,v_2214
q_5,v_2301
q_310,v_56
q_65,v_2053
q_1397,v_1997
q_730,v_237
q_1169,v_732
q_1257,v_2637
q_28,v_2067
q_659,v_2824
q_899,v_1227
q_903,v_141
q_1493,v_2423
q_360,v_2454
q_961,v_815
q_1378,v_2017
q_25,v_2127
q_1313,v_209
q_70,v_767
q_1112,v_2424
q_176,v_2087
q_26,v_452
q_1312,v_713
q_839,v_85
q_816,v_1578
q_574,v_2283
q_999,v_2016
q_530,v_1913
q_1457,v_1605
q_492,v_643
q_277,v_1271
q_998,v_2714
q_1369,v_1624
q_1261,v_1562
q_1160,v_2408
q_1186,v_2915
q_838,v_749
q_846,v_2222
q_899,v_2875
q_292,v_2851
q_1051,v_1397
q_255,v_1965
q_904,v_60
q_664,v_1530
q_264,v_774
q_400,v_2461
q_459,v_115
q_776,v_1756
q_1156,v_1447
q_1020,v_1151
q_1214,v_1349
q_1147,v_2745
q_1454,v_1222
q_1241,v_2847
q_402,v_626
q_994,v_1356
q_1345,v_1489
q_300,v_1865
q_1094,v_2471
q_213,v_1336
q_873,v_522
q_373,v_1639
q_1359,v_2222
q_1194,v_2945
q_343,v_1971
q_1479,v_2421
q_861,v_631
q_1433,v_236
q_300,v_1771
q_1314,v_967
q_748,v_1840
q_436,v_442
q_101,v_2831
q_9,v_1911
q_1064,v_1019
q_369,v_2006
q_125,v_2934
q_784,v_2893
q_382,v_1562
q_326,v_841
q_449,v_634
q_522,v_2203
q_1009,v_2776
q_941,v_812
q_982,v_2687
q_272,v_1709
q_501,v_1570
q_1250,v_1064
q_1250,v_185
q_865,v_2508
q_340,v_1718
q_271,v_1412
q_394,v_2593
q_1147,v_1472
q_909,v_698
q_194,v_2354
q_1196,v_944
q_1226,v_136
q_1056,v_1225
q_210,v_892
q_812,v_2702
q_693,v_620
q_752,v_2204
q_1000,v_2228
q_1074,v_2456
q_891,v_852
q_1430,v_870
q_540,v_611
q_517,v_1538
q_934,v_1568
q_132,v_68
q_95,v_601
q_423,v_2064
q_857,v_2896
q_973,v_878
q_81,v_2882
q_788,v_545
q_314,v_1799
q_915,v_1836
q_1303,v_2107
q_1109,v_183
q_365,v_837
q_365,v_1892
q_1116,v_1388
q_70,v_1941
q_325,v_1952
q_1349,v_1457
q_843,v_2800
q_1214,v_2770
q_213,v_1391
q_1070,v_1453
q_88,v_2377
q_995,v_1172
q_1250,v_1711
q_1420,v_1400
q_216,v_780
q_300,v_1028
q_1439,v_2449
q_925,v_627
q_852,v_2250
q_893,v_53
q_169,v_287
q_1388,v_1068
q_1255,v_283
q_619,v_832
q_1351,v_581
q_1256,v_1994
q_681,v_2089
q_642,v_271
q_36,v_916
q_770,v_570
q_1425,v_2799
q_1010,v_2094
q_635,v_1645
q_425,v_2173
q_407,v_471
q_774,v_810
q_864,v_1946
q_216,v_620
q_169,v_676
q_609,v_2417
q_357,v_770
q_185,v_2635
q_724,v_2054
q_869,v_697
q_823,v_1614
q_678,v_64
q_1184,v_201
q_283,v_141
q_183,v_2864
q_141,v_2264
q_230,v_1316
q_1491,v_1157
q_387,v_2309
q_734,v_2331
q_157,v_101
q_1341,v_376
q_1208,v_205
q_1444,v_760
q_1206,v_1146
q_576,v_2057
q_1075,v_1190
q_1026,v_1634
q_76,v_1742
q_581,v_2198
q_607,v_1060
q_1039,v_1912
q_229,v_2823
q_903,v_1497
q_916,v_1467
q_888,v_1028
q_1290,v_889
q_1329,v_1249
q_1029,v_1562
q_1133,v_402
q_142,v_2986
q_206,v_810
q_428,v_1058
q_165,v_1260
q_259,v_1491
q_393,v_2546
q_120,v_511
q_949,v_1846
q_412,v_316
q_1163,v_302
q_167,v_1125
q_1107,v_1335
q_420,v_81
q_787,v_657
q_267,v_2240
q_37,v_2271
q_925,v_52
q_1326,v_1014
q_337,v_344
q_329,v_1108
q_198,v_986
q_809,v_1930
q_4,v_640
q_1455,v_210
q_988,v_863
q_1394,v_775
q_894,v_914
q_102,v_182
q_434,v_505
q_649,v_1857
q_380,v_2059
q_65,v_92
q_578,v_329
q_269,v_2237
q_46,v_2913
q_915,v_2340
q_364,v_260
q_1203,v_709
q_67,v_1951
q_1138,v_2370
q_1049,v_2057
q_206,v_87
q_72,v_2387
q_1282,v_1572
q_1409,v_2734
q_29,v_2256
q_1444,v_1072
q_1026,v_2969
q_520,v_1846
q_887,v_2310
q_400,v_2717
q_653,v_1488
q_949,v_1658
q_847,v_2067
q_1297,v_2615
q_1495,v_1131
q_934,v_2187
q_1395,v_1114
q_430,v_270
q_538,v_1596
q_1371,v_283
q_70,v_365
q_255,v_2531
q_1126,v_2
q_146,v_783
q_901,v_2211
q_669,v_387
q_139,v_1032
q_654,v_1389
q_620,v_2059
q_1446,v_73
q_870,v_237
q_63,v_1985
q_1294,v_2962
q_867,v_2281
q_834,v_1462
q_512,v_1780
q_1030,v_1504
q_1416,v_1115
q_1024,v_871
q_1284,v_1221
q_46,v_1139
q_867,v_1666
q_777,v_2200
q_1025,v_1656
q_534,v_1131
q_358,v_1971
q_1445,v_2575
q_814,v_810
q_595,v_55
q_203,v_2662
q_970,v_1533
q_226,v_933
q_947,v_662
q_816,v_1578
q_150,v_2347
q_1270,v_2677
q_16,v_1871
q_303,v_1302
q_1220,v_143
q_1469,v_228
q_1364,v_2513
q_780,v_2184
q_1084,v_239
q_266,v_2004
q_1120,v_2496
q_1306,v_1338
q_1270,v_150
q_34,v_802
q_785,v_352
q_1492,v_1974
q_67,v_1133
q_188,v_465
q_40,v_1063
q_607,v_2701
q_682,v_1395
q_944,v_1548
q_906,v_1530
q_1090,v_52
q_946,v_1768
q_1331,v_2398
q_1142,v_1574
q_852,v_2786
q_1209,v_2387
q_973,v_1144
q_1093,v_2112
q_1010,v_1463
q_756,v_295
q_1006,v_2989
q_1307,v_2252
q_547,v_646
q_1371,v_1580
q_914,v_2182
q_1218,v_2425
q_483,v_2915
q_587,v_2627
q_1303,v_709
q_1371,v_66
q_1121,v_2050
q_281,v_1593
q_629,v_1911
q_418,v_509
q_222,v_1891
q_1275,v_1461
q_79,v_2824
q_825,v_1973
q_681,v_1999
q_412,v_1970
q_1416,v_1551
q_333,v_101
q_888,v_1460
q_1351,v_2846
q_1025,v_733
q_1226,v_2434
q_257,v_532
q_762,v_91
q_1390,v_1819
q_1169,v_1156
q_836,v_838
q_1401,v_504
q_1464,v_1476
q_454,v_840
q_1430,v_686
q_18,v_2772
q_953,v_2195
q_978,v_933
q_432,v_1255
q_1452,v_883
q_251,v_313
q_795,v_2704
q_906,v_2345
q_648,v_222
q_909,v_2400
q_737,v_415
q_220,v_2109
q_112,v_2655
q_1172,v_623
q_559,v_2423
q_1081,v_2646
q_196,v_404
q_1041,v_2976
q_779,v_1278
q_214,v_389
q_635,v_1648
q_1039,v_765
q_676,v_347
q_659,v_1345
q_1422,v_2564
q_232,v_1919
q_24,v_329
q_1424,v_1968
q_1388,v_973
q_937,v_2139
q_1318,v_1245
q_1018,v_2237
q_1460,v_2619
q_70,v_204
q_24,v_2259
q_1397,v_2817
q_457,v_88
q_1237,v_362
q_210,v_331
q_540,v_2968
q_770,v_707
q_1062,v_2891
q_1283,v_1478
q_676,v_2742
q_94,v_421
q_1413,v_762
q_219,v_2783
q_905,v_1194
q_1291,v_2757
q_1089,v_248
q_1410,v_2228
q_192,v_482
q_1343,v_1407
q_174,v_2836
q_111,v_2295
q_1331,v_318
q_1363,v_699
q_1103,v_530
q_110,v_1136
q_452,v_1947
q_412,v_2610
q_603,v_1367
q_959,v_122
q_185,v_749
q_1110,v_318
q_1247,v_1597
q_50,v_585
q_1149,v_2292
q_1169,v_543
q_1064,v_1480
q_354,v_2200
q_1468,v_2703
q_362,v_14
q_535,v_1466
q_1307,v_244
q_35,v_2838
q_276,v_2614
q_1348,v_2601
q_1009,v_898
q_181,v_1478
q_470,v_1382
q_416,v_51
q_888,v_2058
q_1173,v_822
q_403,v_1623
q_513,v_2274
q_565,v_2161
q_440,v_603
q_1269,v_592
q_991,v_1273
q_1069,v_1273
q_74,v_2984
q_1172,v_2257
q_405,v_2998
q_2,v_1004
q_1032,v_2658
q_513,v_1571
q_1261,v_2385
q_539,v_1811
q_289,v_724
q_180,v_814
q_1338,v_531
q_265,v_758
q_82,v_5
q_257,v_584
q_949,v_618
q_198,v_1534
q_1315,v_796
q_647,v_1484
q_1106,v_355
q_265,v_2266
q_1440,v_2414
q_996,v_888
q_869,v_560
q_730,v_363
q_860,v_1413
q_18,v_1318
q_370,v_2552
q_1046,v_1311
q_1408,v_2224
q_618,v_1322
q_642,v_1643
q_378,v_1307
q_816,v_2860
q_823,v_2624
q_89,v_2865
q_143,v_1077
q_620,v_2866
q_863,v_1834
q_203,v_1343
q_1415,v_2526
q_1324,v_721
q_864,v_1244
q_152,v_1705
q_528,v_1957
q_338,v_1366
q_748,v_1345
q_1358,v_580
q_1079,v_745
q_555,v_1038
q_752,v_1503
q_930,v_877
q_550,v_133
q_1153,v_717
q_97,v_1047
q_792,v_2424
q_421,v_2699
q_79,v_1462
q_287,v_1347
q_846,v_1145
q_168,v_1364
q_1102,v_1231
q_70,v_2001
q_262,v_165
q_711,v_1579
q_722,v_1098
q_529,v_1503
q_784,v_2319
q_209,v_2017
q_116,v_2213
q_615,v_761
q_1100,v_1109
q_314,v_648
q_10,v_2892
q_1074,v_550
q_1030,v_598
q_954,v_2202
q_260,v_1599
q_199,v_416
q_329,v_1739
q_89,v_2114
q_590,v_2564
q_54,v_1082
q_1244,v_1006
q_91,v_587
q_55,v_771
q_1202,v_2807
q_60,v_1912
q_116,v_2223
q_589,v_321
q_235,v_1484
q_32,v_2183
q_1266,v_2475
q_785,v_1817
q_1097,v_2021
q_20,v_930
q_1177,v_2958
q_1277,v_679
q_1230,v_2369
q_1172,v_1359
q_917,v_780
q_301,v_1536
q_296,v_170
q_772,v_923
q_1067,v_128
q_1167,v_2727
q_1267,v_1441
q_418,v_396
q_61,v_2108
q_857,v_1857
q_537,v_1658
q_1340,v_1795
q_1458,v_2520
q_695,v_2785
q_817,v_396
q_1404,v_803
q_1059,v_654
q_919,v_2649
q_974,v_1876
q_541,v_267
q_1255,v_2123
q_789,v_1092
q_32,v_1468
q_580,v_1321
q_351,v_1497
q_254,v_897
q_1073,v_1754
q_1046,v_1508
q_1277,v_821
q_1417,v_2135
q_272,v_1164
q_692,v_1564
q_249,v_2572
q_1260,v_825
q_903,v_574
q_231,v_1366
q_427,v_686
q_956,v_974
q_633,v_505
q_241,v_1770
q_133,v_73
q_1094,v_805
q_1488,v_580
q_1444,v_222
q_1333,v_896
q_1023,v_2433
q_1302,v_2169
q_218,v_1798
q_696,v_732
q_306,v_1464
q_313,v_822
q_1426,v_456
q_922,v_2211
q_1428,v_2139
q_1402,v_2383
q_280,v_585
q_1350,v_2982
q_34,v_313
q_69,v_2649
q_359,v_1889
q_407,v_993
q_579,v_2957
q_518,v_1489
q_605,v_1664
q_1407,v_2608
q_80,v_2532
q_1461,v_655
q_249,v_2674
q_1061,v_2113
q_44,v_1880
q_1382,v_200
q_136,v_2515
q_822,v_433
q_978,v_137
q_819,v_1075
q_1484,v_1748
q_366,v_1475
q_1328,v_1181
q_228,v_2849
q_182,v_861
q_466,v_1229
q_837,v_1339
q_203,v_135
q_974,v_448
q_622,v_68
q_1091,v_812
q_868,v_1014
q_549,v_1190
q_1328,v_1740
q_603,v_2019
q_754,v_1964
q_627,v_96
q_1015,v_376
q_94,v_1514
q_1269,v_1947
q_684,v_1076
q_796,v_8
q_1102,v_2378
q_1456,v_250
q_1303,v_359
q_368,v_2396
q_278,v_123
q_350,v_633
q_1249,v_198
q_405,v_828
q_445,v_1434
q_322,v_917
q_629,v_1118
q_72,v_2077
q_517,v_1115
q_1344,v_595
q_21,v_2702
q_178,v_2868
q_707,v_2507
q_1132,v_1744
q_1395,v_22
q_1479,v_325
q_1252,v_876
q_937,v_2732
q_1018,v_262
q_947,v_2854
q_530,v_1383
q_363,v_1585
q_424,v_432
q_958,v_559
q_1239,v_2555
q_1071,v_48
q_1488,v_2215
q_671,v_1702
q_1296,v_2488
q_1053,v_593
q_1012,v_1598
q_878,v_227
q_946,v_1975
q_987,v_213
q_1213,v_1665
q_151,v_2927
q_1399,v_2655
q_254,v_2797
q_702,v_1041
q_653,v_466
q_757,v_2391
q_1057,v_2371
q_186,v_1269
q_878,v_1083
q_1472,v_1665
q_1109,v_861
q_672,v_2725
q_875,v_1950
q_117,v_2727
q_1081,v_1276
q_1041,v_847
q_870,v_1406
q_1163,v_575
q_457,v_544
q_705,v_57
q_641,v_2111
q_965,v_898
q_211,v_2172
q_485,v_2108
q_1143,v_379
q_890,v_977
q_1026,v_1784
q_1252,v_1161
q_1252,v_65
q_1001,v_1202
q_984,v_2013
q_342,v_797
q_1164,v_1816
q_1080,v_1194
q_1239,v_2802
q_1137,v_631
q_293,v_1367
q_27,v_226
q_858,v_191
q_1344,v_2799
q_572,v_1629
q_927,v_1149
q_1055,v_98
q_1434,v_343
q_396,v_2290
q_1040,v_19
q_600,v_2406
q_1075,v_432
q_369,v_999
q_163,v_2658
q_1326,v_2534
q_449,v_329
q_543,v_1690
q_709,v_2232
q_350,v_334
q_378,v_2553
q_1462,v_2510
q_200,v_1956
q_1130,v_2050
q_504,v_2716
q_1011,v_1987
q_1407,v_2222
q_1319,v_1871
q_1051,v_1604
q_336,v_1556
q_286,v_2345
q_630,v_2165
q_1366,v_788
q_1054,v_641
q_665,v_205
q_1274,v_2077
q_1386,v_1451
q_106,v_2989
q_505,v_822
q_1465,v_2044
q_116,v_2304
q_1268,v_2229
q_78,v_207
q_740,v_878
q_22,v_2389
q_1220,v_1612
q_360,v_377
q_699,v_410
q_1450,v_382
q_216,v_2884
q_989,v_570
q_706,v_1174
q_627,v_1643
q_1219,v_2416
q_566,v_1130
q_442,v_1162
q_1482,v_279
q_458,v_2119
q_143,v_2670
q_313,v_2552
q_874,v_1761
q_728,v_2997
q_1280,v_2153
q_638,v_2206
q_473,v_1173
q_684,v_13
q_605,v_2052
q_901,v_1296
q_1242,v_2258
q_1381,v_2374
q_1260,v_857
q_274,v_465
q_751,v_1963
q_216,v_1773
q_1420,v_745
q_1097,v_2224
q_675,v_1790
q_709,v_1856
q_922,v_131
q_1351,v_776
q_407,v_2463
q_147,v_343
q_1109,v_2532
q_502,v_1555
q_231,v_1593
q_497,v_577
q_422,v_344
q_1490,v_1420
q_246,v_2522
q_1393,v_524
q_104,v_1597
q_233,v_1947
q_1481,v_45
q_1280,v_1934
q_474,v_1628
q_1003,v_980
q_1195,v_1451
q_1296,v_2070
q_758,v_1892
q_874,v_2114
q_1217,v_625
q_111,v_2253
q_22,v_257
q_936,v_2010
q_314,v_2593
q_201,v_2855
q_617,v_252
q_605,v_1604
q_994,v_1212
q_24,v_2200
q_656,v_1738
q_1389,v_2124
q_530,v_2750
q_45,v_2587
q_1058,v_724
q_201,v_2416
q_364,v_567
q_469,v_2671
q_1323,v_1778
q_776,v_1177
q_415,v_2202
q_1369,v_2841
q_1372,v_270
q_698,v_561
q_809,v_1532
q_189,v_1413
q_1426,v_2179
q_348,v_1693
q_372,v_844
q_1314,v_2312
q_984,v_219
q_986,v_898
q_110,v_2984
q_1324,v_2336
q_645,v_1102
q_1036,v_750
q_522,v_2367
q_1125,v_317
q_196,v_2534
q_1414,v_1414
q_54,v_1772
q_182,v_587
q_1042,v_1841
q_362,v_2086
q_472,v_2990
q_8,v_104
q_659,v_1605
q_24,v_506
q_1329,v_569
q_1457,v_328
q_1445,v_1714
q_1080,v_983
q_823,v_2355
q_1202,v_221
q_67,v_2703
q_1024,v_2720
q_47,v_150
q_1440,v_2220
q_944,v_2770
q_1220,v_978
q_1071,v_2857
q_354,v_2924
q_1257,v_1568
q_1009,v_620
q_436,v_2094
q_699,v_1631
q_625,v_1148
q_89,v_1318
